Event Day,Ship Type,MIN DWTUTE,MINCONTUTE,MIN SQUUTE,MIN VOLUTE,MIN POLUTE,FULLDWTUTE,FULCONTUTE,FULLSQUUTE,FULLVOLUTE,FULLPOLUTE
60,BARGE(LASH),0,0,0,0,0,0,0,0,0,0
60,BARGE(T-AKB),0,0,0,0,0,0,0,0,0,0
60,BREAKBULK,0,0,0,0,0,0,0,0,0,0
60,CAR TRANS,0,0,40,0,0,0,0,60,0,0
60,CLF,0,0,0,0,0,0,0,0,0,0
60,COMBO,0,0,40,0,0,0,0,40,0,0
60,CONT-NSS,0,0,0,0,0,0,60,0,0,0
60,CONT-SS,0,30,0,0,0,0,60,0,0,0
60,FSS,0,0,0,0,0,0,0,20,0,0
60,PAX,0,0,0,0,0,0,0,0,0,0
60,POL TANKER,0,0,0,0,0,0,0,0,0,0
60,RO/RO,0,0,0,0,0,0,0,20,0,0
60,RO/RO(T-AKR),0,0,0,0,0,0,0,20,0,0
60,T-ACS,0,0,0,0,0,0,0,0,0,0
60,T-AH,0,0,0,0,0,0,0,0,0,0
60,VISA CONT,0,0,0,0,0,0,0,0,0,0
