RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
00JCC,A,7,AR CO AR BN ABN DIV/SEPBD,,,2AAFF,N,,01082,,,,,20,0,CO,86,,,,Y,,,false,false,,,,
00JCP,A,7,AR CO AR BN ABN DIV/SEPBD,,,2AAFF,N,,01082,,,,,20,0,CO,86,,,,Y,,,false,false,,,,
00JD,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,N,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
00JDA,A,7,FWD SPT CO ORD BN  ABN,,,HE6NN,N,,01082,,,,,52,0,CO,78,,,,Y,,,false,false,,,,
00JE,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,N,,01082,,,,,23,0,CO,56,,,,Y,,,false,false,,,,
00JFA,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,N,,01082,,,,,52,0,CO,56,,,,Y,,,false,false,,,,
03AEC,A,7,INF BN  MECH,,,05TTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07245L000
03AEP,A,7,INF BN  MECH,,,05TTT,C,,00001,,,,,821,0,BN,821,,,,Y,,,false,false,,,,07245L000
03AFC,A,7,INF BN  MECH,,,05TTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07245L000
03AFP,A,7,INF BN  MECH,,,05TTT,C,,00001,,,,,821,0,BN,821,,,,Y,,,false,false,,,,07245L000
03AGC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
03AGP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,C,,00001,,,,,633,0,BN,633,,,,Y,,,false,false,,,,17375L000
03AJC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
03AJP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,C,,00001,,,,,633,0,BN,633,,,,Y,,,false,false,,,,17375L000
03AKC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
03AKP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,N,,00001,,,,,551,0,BN,551,,,,Y,,,false,false,,,,
03AUC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,00001,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
03AUP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,C,,00001,,,,,633,0,BN,633,,,,Y,,,false,false,,,,17375L000
04DDC,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,P,,35690,,,,,0,0,CO,0,,,,Y,,,false,false,,,,55727L100
04DDP,A,7,T MDM TRK CO 40 FT CNR/CG,,,UL444,C,,35690,,,,,169,0,CO,169,,,,Y,,,false,false,,,,55727L100
0DAAC,A,7,HHC PSYOP BATTALION,,,PHNEE,P,,34319,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,33706L000
0DAAP,A,7,HHC PSYOP BATTALION,,,PHNEE,C,,34319,,,,,100,0,HHC,100,,,,Y,,,false,false,,,,33706L000
0DBBC,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,P,,34363,,,,,0,0,CO,0,,,,Y,,,false,false,,,,33707L000
0DBBP,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,C,,34363,,,,,110,0,CO,110,,,,Y,,,false,false,,,,33707L000
0DBCC,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,P,,34363,,,,,0,0,CO,0,,,,Y,,,false,false,,,,33707L000
0DBCP,A,7,PSYOP OPNL SPT COMPANY,,,PKNEE,C,,34363,,,,,110,0,CO,110,,,,Y,,,false,false,,,,33707L000
0DBDC,A,7,PSYOP STRAT DISSEM CO,,,PCMEE,P,,34364,,,,,0,0,CO,0,,,,Y,,,false,false,,,,33703L000
0DBDP,A,7,PSYOP STRAT DISSEM CO,,,PCMEE,C,,34364,,,,,118,0,CO,118,,,,Y,,,false,false,,,,33703L000
0EBFC,A,7,"ENGR CO, PIPELINE CONST",,,4AAAD,P,,31497,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0EBFP,A,7,"ENGR CO, PIPELINE CONST",,,4AAAD,C,,31497,,,,,181,0,CO,181,,,,Y,,,false,false,,,,
