RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0YBRC,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBRP,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,C,,01082,,,,,46,0,CO,57,,,,Y,,,false,false,,,,
0YBSC,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBSP,A,7,FWD SUP CO S T BN ABN DIV,,,JH5NN,C,,01082,,,,,46,0,CO,57,,,,Y,,,false,false,,,,
0YBTC,A,7,"FWD S S DET,S S BN,ABN DI",,,X3AAF,P,,01082,,,,,0,0,DET,0,,,,Y,,,false,false,,,,
0YBTP,A,7,"FWD S S DET,S S BN,ABN DI",,,X3AAF,C,,01082,,,,,49,0,DET,49,,,,Y,,,false,false,,,,
0YBUC,A,7,QM AD EQ  SPT CO ABN CORP,,,HHXNN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBUP,A,7,QM AD EQ  SPT CO ABN CORP,,,HHXNN,C,,01082,,,,,327,0,CO,327,,,,Y,,,false,false,,,,
0YBVC,A,7,HQ   SUP CO S T BN ABN DI,,,JG5NN,P,,01082,,,,,0,0,HSC,0,,,,Y,,,false,false,,,,
0YBVP,A,7,HQ   SUP CO S T BN ABN DI,,,JG5NN,C,,01082,,,,,184,0,HSC,184,,,,Y,,,false,false,,,,
0YBWC,A,7,SVC SPT CO MI BN ABN DIV,,,PE4NN,N,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YBWP,A,7,INTEL SURVL CO MI BN ABN,,,PD4NN,C,,01082,,,,,70,0,CO,70,,,,Y,,,false,false,,,,
0YBYC,A,7,"HQ,HQ OP CO MI BN ABN DIV",,,PB4NN,P,,01082,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0YBYP,A,7,"HQ,HQ OP CO MI BN ABN DIV",,,PB4NN,C,,01082,,,,,98,0,HHC,98,,,,Y,,,false,false,,,,
0YC C,A,7,HHC AIRBORNE BRIGADE,,,3MBNN,P,,01082,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0YC P,A,7,HHC AIRBORNE BRIGADE,,,3MBNN,C,,01082,,,,,87,0,HHC,87,,,,Y,,,false,false,,,,
0YCAC,A,7,INF BN  ABN,,,0YSNN,P,,01082,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07035L000
0YCAP,A,7,INF BN  ABN,,,0YSNN,C,,01082,,,,,675,0,BN,675,,,,Y,,,false,false,,,,07035L000
0YCBC,A,7,INF BN  ABN,,,0YSNN,P,,01082,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07035L000
0YCBP,A,7,INF BN  ABN,,,0YSNN,C,,01082,,,,,675,0,BN,675,,,,Y,,,false,false,,,,07035L000
0YCCC,A,7,INF BN  ABN,,,0YSNN,P,,01082,,,,,0,0,BN,0,,,,Y,,,false,false,,,,07035L000
0YCCP,A,7,INF BN  ABN,,,0YSNN,C,,01082,,,,,675,0,BN,675,,,,Y,,,false,false,,,,07035L000
0ZABC,A,7,24TH INF DIV (MECH) ADVON,,,0L766,N,,04024,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0ZABP,A,7,24TH INF DIV (MECH) ADVON,,,0L766,N,,04024,,,,,100,0,HHC,100,,,,Y,,,false,false,,,,
0ZACA,A,7,24TH INF DIV (MECH) - PAX ONLY,,,0L766,N,,04024,,,,,2401,0,HHC,2401,,,,Y,,,false,false,,,,
0ZACB,A,7,24TH INF DIV (MECH) - PAX ONLY,,,0L766,N,,04024,,,,,2002,0,HHC,2002,,,,Y,,,false,false,,,,
0ZACD,A,7,24TH INF DIV (MECH) - PAX ONLY,,,0L766,N,,04024,,,,,2002,0,HHC,2002,,,,Y,,,false,false,,,,
0ZACG,A,7,24TH INF DIV (MECH) - PAX ONLY,,,0L766,N,,04024,,,,,1306,0,HHC,1306,,,,Y,,,false,false,,,,
0ZACH,A,7,24TH INF DIV (MECH) - PAX ONLY,,,0L766,N,,04024,,,,,1306,0,HHC,1306,,,,Y,,,false,false,,,,
0ZBB,A,7,HHC INF DIV  MECH  BDE,,,0H766,P,,04024,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0ZCB,A,7,INF BN MECH E/W BFVS,,,0M666,P,,04024,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0ZDA,A,7,HHC INF DIV  MECH  BDE,,,0H766,P,,04024,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0ZDB,A,7,INF BN MECH E/W BFVS,,,0M666,P,,04024,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0ZDC,A,7,INF BN MECH E/W BFVS,,,0M666,P,,04024,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0ZHCC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,02002,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
0ZHCP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,C,,02002,,,,,633,0,BN,633,,,,Y,,,false,false,,,,17375L000
0ZHFC,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,P,,02002,,,,,0,0,BN,0,,,,Y,,,false,false,,,,17375L000
0ZHFP,A,7,"TANK BATTALION, EQ/W, M6O",,,2JTTT,C,,02002,,,,,633,0,BN,633,,,,Y,,,false,false,,,,17375L000
5BCAA,F,E,MNT    F/RF  4 FUEL TANK BU TM 0TR,,,HFBZM,S,,,,,,,12,0,ELE,12,,,,Y,,,false,false,,,,
5CCAB,F,E,MNT     F 16  TANK B-U TM      0TR,,,HFBZP,S,,,,,,,12,0,ELE,12,,,,Y,,,false,false,,,,
5CCAD,F,E,MNT     F 16  TANK B-U TM      0TR,,,HFBZP,S,,,,,,,12,0,ELE,12,,,,Y,,,false,false,,,,
5CCAU,F,E,MNT     F 16  TANK B-U TM      0TR,,,HFBZP,S,,,,,,,12,0,ELE,12,,,,Y,,,false,false,,,,
5CCAV,F,E,MNT     F 16  TANK B-U TM      0TR,,,HFBZP,S,,,,,,,12,0,ELE,12,,,,Y,,,false,false,,,,
5HDC9,F,8,POL 400  GAL LOX STORAGE TANK  0SR,,,JFDEQ,P,,,,,,,0,0,ELE,0,,,,Y,,,false,false,,,,
5NMH1,F,C,WATER TANKS (3 EA),,,XFZ99,N,,,,,,,0,0,ELE,0,,,,Y,,,false,false,,,,
