RLN,CCC,Mtons,Stons,Sqft
0DAAC,R2D,303.700012,66.099998,2483
0DBBC,J2D,96,23,480
0DBBC,J7C,46,18.200001,364
0DBBC,M7C,1,0.4,1
0DBBC,R1D,280.399994,92.599998,1227
0DBBC,R2B,19.799999,1.8,140
0DBBC,R2D,370.600006,68.900002,2482
0DBCC,J2D,96,23,480
0DBCC,J7C,46,18.200001,364
0DBCC,M7C,1,0.4,1
0DBCC,R1D,280.399994,92.599998,1227
0DBCC,R2B,19.799999,1.8,140
0DBCC,R2D,370.600006,68.900002,2482
0DBDC,A2D,47.200001,12.4,222
0DBDC,J2B,33.900002,17.299999,210
0DBDC,J2D,189.399994,41.299999,1094
0DBDC,J3D,13.2,5,66
0DBDC,J7C,49,19.6,392
0DBDC,M7C,1,0.4,1
0DBDC,R1D,233,70.099998,1056
0DBDC,R2B,45.199997,6.7,333
0DBDC,R2D,209,65.099998,1745
0EBFC,A1D,95,28.700001,303
0EBFC,A2D,260,79.800003,1283
0EBFC,J2B,19,6.8,253
0EBFC,J7C,74,29.799999,596
0EBFC,M7C,1,0.9,1
0EBFC,R1D,179,49.400002,695
0EBFC,R2B,253,43.799999,1843
0EBFC,R2D,1232,278.700012,7869
0EBFC,R3D,10,1.4,50
0EBQC,A1D,188.399994,57.400002,606
0EBQC,A2D,1575.199951,577.900024,7922
0EBQC,A3B,6.3,2.5,45
0EBQC,J2B,16.800001,4,262
0EBQC,J7C,324,129.699997,2594
0EBQC,M7C,7,6.9,1
0EBQC,R1D,423.299988,99.300003,1607
0EBQC,R2B,653.399963,98.400002,4895
0EBQC,R2D,5298.400391,1502.599976,30874
0EBQC,R3B,10.5,1.5,105
0EBQC,R3D,46.5,7,250
0EBRC,A1D,188.399994,57.400002,606
0EBRC,A2D,1575.199951,577.900024,7922
0EBRC,A3B,6.3,2.5,45
0EBRC,J2B,16.800001,4,262
0EBRC,J7C,324,129.699997,2594
0EBRC,M7C,7,6.9,1
0EBRC,R1D,423.299988,99.300003,1607
0EBRC,R2B,653.399963,98.400002,4895
0EBRC,R2D,5298.400391,1502.599976,30874
0EBRC,R3B,10.5,1.5,105
0EBRC,R3D,46.5,7,250
0EGBC,A1D,156,45.599998,648
0EGBC,A2B,15.2,4.9,91
0EGBC,A2D,1207.199951,483.600006,5991
0EGBC,J2D,27,10.8,258
0EGBC,J3B,86.400002,5.4,594
0EGBC,J7C,73,29.200001,584
0EGBC,M7C,1,0.7,14
0EGBC,R1D,2004.599854,559.200012,8915
0EGBC,R2B,31.199999,3.6,274
0EGBC,R2D,1991,390.5,10617
0EGBC,R3D,9.3,1.4,50
0HBGC,C0D,10308.600586,1186.199951,27954
0HBGC,J7C,60,23.9,478
0HBGC,M7C,4,3.7,74
0HBGC,R1D,77.5,29.9,352
0HBGC,R2B,24.099998,2.7,206
0HBGC,R2D,211.999985,40,1278
0HBGC,R3D,9.3,1.4,50
0HBL,A2D,68,43.200001,328
0HBL,J2B,11,5.6,148
0HBL,J2D,16,1.9,91
0HBL,J7C,72,28.6,572
0HBL,M7C,2,2.3,1
0HBL,R1D,194,54.599998,725
0HBL,R2B,81,13.3,660
0HBL,R2D,145,31.1,858
0HEDC,J2D,17.700001,2.3,101
0HEDC,J7C,70,28,560
0HEDC,M7C,1,1,20
0HEDC,R1D,2984.699951,599.900024,12219
0HEDC,R2B,9.9,0.9,70
0HEDC,R2D,7839.899902,1219.5,40736
0HEDC,R3D,9.3,1.4,50
0HEEC,J2D,17.700001,2.3,101
0HEEC,J7C,71,28.200001,564
0HEEC,M7C,2,1.6,32
0HEEC,R1D,2715.300049,685.299988,12280
0HEEC,R2B,9.9,0.9,70
0HEEC,R2D,3393.999756,443.799988,15984
0HEEC,R3D,9.3,1.4,50
0HEHC,J2D,17.700001,2.3,101
0HEHC,J7C,70,28,560
0HEHC,M7C,1,1,20
0HEHC,R1D,2984.699951,599.900024,12219
0HEHC,R2B,9.9,0.9,70
0HEHC,R2D,7839.899902,1219.5,40736
0HEHC,R3D,9.3,1.4,50
0HNBC,J2D,17.700001,2.3,101
0HNBC,J7C,46,18.1,362
0HNBC,M7C,2,1.5,1
0HNBC,R1D,2788.199951,775.799988,12603
0HNBC,R2B,25.299999,2.5,161
0HNBC,R2D,1126.900024,166,6502
0HNBC,R3D,9.3,1.4,50
0HVCC,J2D,17.700001,2.3,101
0HVCC,J7C,70,28,560
0HVCC,M7C,1,1,20
0HVCC,R1D,2984.699951,599.900024,12219
0HVCC,R2B,9.9,0.9,70
0HVCC,R2D,7839.899902,1219.5,40736
0HVCC,R3D,9.3,1.4,50
0JKBC,J2D,17.700001,2.3,101
0JKBC,J7C,71,28.200001,564
0JKBC,M7C,2,1.6,32
0JKBC,R1D,2715.300049,685.299988,12280
0JKBC,R2B,9.9,0.9,70
0JKBC,R2D,3393.999756,443.799988,15984
0JKBC,R3D,9.3,1.4,50
0JLBC,J2D,17.700001,2.3,101
0JLBC,J7C,71,28.200001,564
0JLBC,M7C,2,1.6,32
0JLBC,R1D,2715.300049,685.299988,12280
0JLBC,R2B,9.9,0.9,70
0JLBC,R2D,3393.999756,443.799988,15984
0JLBC,R3D,9.3,1.4,50
0JXC,J7C,3,1,20
0JXC,M7C,1,0.1,1
