RLN,Origin,RLD,POEModeSource,POE,ALD,PODModeSource,POD,EAD,LAD,DestModeSource,Destination,RDD,JopesPriority,PriorityAddOn,PODDischargeConstraint,PODLoadConfigCode,DestDischargeConstraint,DestLoadConfigCode
0ZHCC,HFTZ,2,LG,DKSD,22,SE,VKNP,28,33,LD,NWXN,34,214,,,,,
0ZHCP,HFTZ,2,LG,UHGN,30,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
0ZHFC,HFTZ,2,LG,DKSD,17,SE,VKNP,28,33,LD,NWXN,34,214,,,,,
0ZHFP,HFTZ,2,LG,UHGN,30,AK,JEAH,28,33,XX,JEAH,34,214,,,,,
5BCAA,HUUA,0,XX,QKJA,10,AK,HNTK,10,12,XX,HNTK,12,214,,,,,
5CCAB,VLSB,3,XX,DKFX,5,AK,FUQN,5,8,XX,FUQN,8,214,,,,,
5CCAD,VLSB,3,XX,DKFX,5,AK,FUQN,5,8,XX,FUQN,8,214,,,,,
5CCAU,KRSM,25,XX,QYZH,26,AK,HNTK,26,28,XX,HNTK,28,214,,,,,
5CCAV,KRSM,20,XX,QYZH,21,AK,HNTK,21,23,XX,HNTK,23,214,,,,,
5HDC9,AJJY,16,XX,AJJY,21,AK,VRJT,21,21,XX,VRJT,21,214,,,,,
5NMH1,KWRD,25,XX,BPWZ,26,AK,FUQN,26,28,XX,FUQN,28,214,,,,,
AR00040,PVSD,21,LG,AVBU,21,SE,HNTS,37,41,LD,HNTM,43,214,,,,,
AR00041,PVSD,27,LG,AVBU,27,SE,HNTS,43,47,LD,HNTM,49,214,,,,,
AR00042,PVSD,18,LG,AVBU,18,SE,HNTS,34,38,LD,HNTM,40,214,,,,,
AR00043,PVSD,21,LG,AVBU,21,SE,HNTS,37,41,LD,HNTM,43,214,,,,,
AR00044,PVSD,27,LG,AVBU,27,SE,HNTS,43,47,LD,HNTM,49,214,,,,,
AR00045,PVSD,18,LG,AVBU,18,SE,HNTS,34,38,LD,HNTM,40,214,,,,,
AR00046,PVSD,21,LG,AVBU,21,SE,HNTS,37,41,LD,HNTM,43,214,,,,,
AR00047,PVSD,27,LG,AVBU,27,SE,HNTS,43,47,LD,HNTM,49,214,,,,,
AR00048,PVSD,18,LG,AVBU,18,SE,HNTS,34,38,LD,HNTM,40,214,,,,,
AR00049,PVSD,21,LG,AVBU,21,SE,HNTS,37,41,LD,HNTM,43,214,,,,,
AR00050,PVSD,27,LG,AVBU,27,SE,HNTS,43,47,LD,HNTM,49,214,,,,,
AR00051,PVSD,18,LG,AVBU,18,SE,TRZP,34,38,LD,HNTM,40,214,,,,,
AR00052,PVSD,21,LG,AVBU,21,SE,TRZP,37,41,LD,HNTM,43,214,,,,,
AR00053,PVSD,27,LG,AVBU,27,SE,TRZP,43,47,LD,HNTM,49,214,,,,,
AR00054,PVSD,18,LG,AVBU,18,SE,TRZP,34,38,LD,HNTM,40,214,,,,,
AR00055,PVSD,21,LG,AVBU,21,SE,TRZP,37,41,LD,HNTM,43,214,,,,,
AR00056,PVSD,27,LG,AVBU,27,SE,TRZP,43,47,LD,HNTM,49,214,,,,,
AR00057,PVSD,18,LG,AVBU,18,SE,TRZP,34,38,LD,HNTM,40,214,,,,,
AR00058,PVSD,21,LG,AVBU,21,SE,TRZP,37,41,LD,HNTM,43,214,,,,,
AR00059,PVSD,27,LG,AVBU,27,SE,TRZP,43,47,LD,HNTM,49,214,,,,,
AR00060,PVSD,18,LG,AVBU,18,SE,TRZP,34,38,LD,HNTM,40,214,,,,,
AR00061,PVSD,21,LG,AVBU,21,SE,TRZP,37,41,LD,HNTM,43,214,,,,,
FR00020,XCYE,42,LG,MBPB,42,AK,HNTK,43,47,LD,HNTM,48,214,,,,,
FR00021,PVSD,32,LG,DKFX,32,AK,HNTK,33,37,LD,HNTM,38,214,,,,,
FR00022,XCYE,37,LG,MBPB,37,AK,HNTK,38,42,LD,HNTM,43,214,,,,,
FR00023,XCYE,25,LG,MBPB,25,AK,HNTK,26,30,LD,HNTM,31,214,,,,,
FR00024,PVSD,42,LG,DKFX,42,AK,HNTK,43,47,LD,HNTM,48,214,,,,,
WP00011,HCRL,20,LG,BPWZ,20,AK,HNTK,20,24,LD,BQWK,26,214,,,,,
WP00013,HCRL,22,LG,BPWZ,22,AK,HNTK,22,26,LD,BQWK,28,214,,,,,
WP00016,HCRL,24,LG,BPWZ,24,AK,HNTK,24,28,LD,BQWK,30,214,,,,,
WP00019,HCRL,26,LG,BPWZ,26,AK,FUQN,26,30,LD,WSVC,32,214,,,,,
WP00022,HCRL,31,LG,BPWZ,31,AK,FUQN,28,32,LD,WSVC,34,214,,,,,
WP00025,HCRL,32,LG,BPWZ,32,AK,FUQN,32,36,LD,WSVC,38,214,,,,,
WP00028,HCRL,34,LG,BPWZ,34,AK,FUQN,34,38,LD,WSVC,40,214,,,,,
WP00031,HCRL,21,LG,BPWZ,21,AK,FUQN,21,25,LD,WSVC,27,214,,,,,
WP00034,HCRL,25,LG,BPWZ,25,AK,HNTK,25,29,LD,BQWK,31,214,,,,,
WP00037,HCRL,34,LG,BPWZ,34,AK,HNTK,34,38,LD,BQWK,40,214,,,,,
WP00040,HCRL,34,LG,BPWZ,34,AK,HNTK,34,38,LD,BQWK,40,214,,,,,
