ScenarioName,Rln,CargoId,Location,FromLocation,ToLocation,Ccc,Mode,ClosureTimePeriod,Rdd,CloseDay,Cargo,Pax,Pol,AirStons,Bulk,Over,Out,AirPax,SeaStons,Area,Vol,Cntr,SeaPax,SeaPol
metadata-scenario,1:0DBBC,1:0DBBC.J2D0002,HPBF,HNTS,HPBF,J2D,ROAD,Early,30,27,16.200000762939453,0,0.0,0.0,0.0,0.0,0.0,0,16.200000762939453,16.200000762939453,0.0,0.0,0,0.0
metadata-scenario,1:0JLBC,1:0JLBC.R2D0004,HNTM,HNTS,HNTM,R2D,ROAD,10+ Days Late,22,32,13.999999761581421,0,0.0,0.0,0.0,0.0,0.0,0,13.999999761581421,13.999999761581421,0.0,0.0,0,0.0
metadata-scenario,1:0YBBC,1:0YBBC.R2D0004,WSVC,HNTS,WSVC,R2D,ROAD,10+ Days Late,37,74,8.099998831748962,0,0.0,0.0,0.0,0.0,0.0,0,8.099998831748962,8.099998831748962,0.0,0.0,0,0.0
metadata-scenario,1:00HF,1:00HF.PAX,WSVC,FUQN,WSVC,PAX,ROAD,6 - 9 Days Late,18,25,0.0,74,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0EBQC,1:0EBQC.A2D0005,HPBF,HNTS,HPBF,A2D,ROAD,On Time,32,32,15.600000381469727,0,0.0,0.0,0.0,0.0,0.0,0,15.600000381469727,15.600000381469727,0.0,0.0,0,0.0
metadata-scenario,1:03AUC,1:03AUC.A2D0004,NWXN,VKNP,NWXN,A2D,ROAD,6 - 9 Days Late,34,43,12.899999618530273,0,0.0,0.0,0.0,0.0,0.0,0,12.899999618530273,12.899999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0ZACA,1:0ZACA.PAX,WSVC,FUQN,WSVC,PAX,ROAD,10+ Days Late,33,55,0.0,665,0.0,0.0,0.0,0.0,0.0,665,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R2D0009,NWXN,VKNP,NWXN,R2D,ROAD,Early,34,33,308.79998779296875,0,0.0,0.0,0.0,0.0,0.0,0,308.79998779296875,308.79998779296875,0.0,0.0,0,0.0
metadata-scenario,1:00FE,1:00FE.A2D0001,WSVC,FUQN,WSVC,A2D,ROAD,On Time,16,16,8.800000190734863,0,0.0,8.800000190734863,0.0,8.800000190734863,0.0,0,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0MBKC,1:0MBKC.R1D0002,HNTM,HNTS,HNTM,R1D,ROAD,1 - 2 Days Late,24,26,12.899999618530273,0,0.0,0.0,0.0,0.0,0.0,0,12.899999618530273,12.899999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0ZACA,1:0ZACA.PAX,WSVC,FUQN,WSVC,PAX,ROAD,10+ Days Late,33,54,0.0,45,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0ZHFC,1:0ZHFC.R1D0006,NWXN,VKNP,NWXN,R1D,ROAD,Early,34,30,16.5,0,0.0,0.0,0.0,0.0,0.0,0,16.5,16.5,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R2D0015,NWXN,VKNP,NWXN,R2D,ROAD,6 - 9 Days Late,34,42,1.600000023841858,0,0.0,0.0,0.0,0.0,0.0,0,1.600000023841858,1.6000000238418581,0.0,0.0,0,0.0
metadata-scenario,1:0YBAP,1:0YBAP.PAX,WSVC,FUQN,WSVC,PAX,ROAD,10+ Days Late,37,50,0.0,5,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0QAEC,1:0QAEC.R2D0019,HPBF,VKNP,HPBF,R2D,ROAD,3 - 5 Days Late,32,35,157.20000457763672,0,0.0,0.0,0.0,0.0,0.0,0,157.20000457763672,157.20000457763672,0.0,0.0,0,0.0
metadata-scenario,1:03AUC,1:03AUC.R2D0013,NWXN,VKNP,NWXN,R2D,ROAD,6 - 9 Days Late,34,42,3.5999999046325684,0,0.0,0.0,0.0,0.0,0.0,0,3.5999999046325684,3.5999999046325684,0.0,0.0,0,0.0
metadata-scenario,1:0MBDP,1:0MBDP.PAX,HNTM,HNTK,HNTM,PAX,ROAD,Early,24,23,0.0,133,0.0,0.0,0.0,0.0,0.0,133,0.0,0.0,0.0,0.0,0,0.0
metadata-scenario,1:0MAAC,1:0MAAC.R2B0001,HNTM,HNTS,HNTM,R2B,ROAD,3 - 5 Days Late,22,25,0.8999999761581421,0,0.0,0.0,0.0,0.0,0.0,0,0.8999999761581421,0.8999999761581421,0.0,0.0,0,0.0
metadata-scenario,1:0QAAC,1:0QAAC.R1D0004,WSVC,HNTS,WSVC,R1D,ROAD,10+ Days Late,26,56,25.399999618530273,0,0.0,0.0,0.0,0.0,0.0,0,25.399999618530273,25.399999618530273,0.0,0.0,0,0.0
metadata-scenario,1:0KFBC,1:0KFBC.R2B0002,WSVC,HNTS,WSVC,R2B,ROAD,10+ Days Late,43,59,13.5,0,0.0,0.0,0.0,0.0,0.0,0,13.5,13.5,0.0,0.0,0,0.0
metadata-scenario,1:03AKC,1:03AKC.R3B0001,NWXN,VKNP,NWXN,R3B,ROAD,6 - 9 Days Late,34,42,2.400000035762787,0,0.0,0.0,0.0,0.0,0.0,0,2.400000035762787,2.400000035762787,0.0,0.0,0,0.0
metadata-scenario,1:AR00051,1:AR00051.GAD,HNTM,HNTS,HNTM,GAD,ROAD,3 - 5 Days Late,40,45,0.0,0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.0
metadata-scenario,1:0TAEC,1:0TAEC.J7C0001,WSVC,HNTS,WSVC,J7C,ROAD,10+ Days Late,32,63,6.0,0,0.0,0.0,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0,0.0
