STORAGE_CONSTRAINS,STORAGE_UTILIZATION,DOCUMENTATION_CONSTRAINS,INTERVAL_PER_DAY,MODE_SELECTION,CONVOY_SERIAL_REQD,LINEHAUL_SERIAL_REQD,MIL_DIRECT_SERIAL_REQD,COM_DIRECT_SERIAL_REQD,MIN_SERIAL_SIZE,MAX_SERIAL_SIZE,MAX_SERIAL_WAIT_TIME,SERIAL_RATE_OF_MARCH,SERIAL_SPACING,LINEHAUL_TRANSITION_TIME,CONVOY_RATE_OF_MARCH,CONVOY_TRIP_SCHED,COMMERCIAL_TRIP_SCHED,MILITARY_TRIP_SCHED,BERTH_TIME,DEBERTH_TIME,MIN_TRAIN_CARS,MAX_TRAIN_CARS,RAIL_RATE_OF_MARCH,MAX_TRAIN_WAIT_TIME,RAIL_TRAVEL_SCHED,DEFAULT_ROUTE_WIDTH_LIMIT,DEFAULT_ROUTE_HEIGHT_LIMIT,DEFAULT_ROUTE_WEIGHT_LIMIT,DEFAULT_ROUTE_MLC_LIMIT,RAILCAR_ADEQUATE_LOAD,TRUCK_ADEQUATE_LOAD,WATERCRAFT_ADEQUATE_LOAD,MAXIMUM_RAILCAR_WAIT,MAXIMUM_TRUCK_WAIT,MAXIMUM_WATERCRAFT_WAIT,WATERCRAFT_MINIMUM_LOAD,PERCENT_FOR_DELIVERY,MAKE_STRANDED_AVAILABLE,PAX_LOAD_RATE_TO_SHIP,MULTIMODE_ROUTING,SEND_IDLE_ASSETS_HOME,SEAPORT_INTERVALS,PIPELINE_INTERVALS,THEATER_NAME,INCLUDE_IN_SIM,FED_SHIP_WAIT,FED_SHIP_WAIT_LOAD,MAKE_UE_HIGH_PRIORITY,TTE_PROJECT_ASSET_USE,TTE_PROJECT_LOC_THRUPUT_USE,TTE_PROJECT_MODE_THRUPUT_USE,ROAD_MAX_DIST,RAIL_MAX_DIST,PIPE_MAX_DIST,WATER_MAX_DIST,MSR_FACTOR,TYPE1_FACTOR,TYPE2_FACTOR,TYPE3_FACTOR,DEFAULT_COST_PER_BBL,DEFAULT_COST_PER_ORGANIC_VEHICLE_MILE,RESTRICT_COMMDIRECT_SERIALS_TO_TYPE,RESTRICT_MILDIRECT_SERIALS_TO_TYPE,RESTRICT_MILORGANIC_SERIALS_TO_TYPE,MAX_SERIALS,ROAD_ROUTE_CAP,RAIL_ROUTE_CAP,WATER_ROUTE_CAP,PIPE_ROUTE_CAP
0,0.7,0,4,2,1,1,1,1,5,30,1.5,30.0,500,0.3,40.0,Continuous,Continuous,Continuous,2.0,2.0,10,60,22.0,6.0,Continuous,100,100,20,20,50,50,50,0.5,0.5,0.0,20,90,0,250.0,1,1,24,24,,false,0.25,5,false,true,true,true,50.0,5.0,5.0,5.0,0.75,1.0,1.4,3.0,0.0,0.0,1,1,1,10000,240,240,1,240
0,0.7,0,4,2,1,1,1,1,5,30,1.5,30.0,500,0.3,40.0,Continuous,Continuous,Continuous,2.0,2.0,10,60,22.0,6.0,Continuous,100,100,20,20,50,50,50,0.5,0.5,0.0,20,90,0,250.0,1,1,24,24,CONUS,true,0.25,5,false,true,true,true,50.0,5.0,5.0,5.0,0.75,1.0,1.4,3.0,0.0,0.0,1,1,1,10000,240,240,1,240
0,0.7,0,4,2,1,0,0,0,3,15,1.0,30.0,500,0.0,40.0,Continuous,Continuous,Continuous,2.0,2.0,10,35,22.0,2.0,Continuous,100,100,20,20,50,50,50,0.0,0.0,0.0,20,90,1,250.0,1,1,24,24,Tunisia,true,0.25,5,false,true,true,true,50.0,5.0,5.0,5.0,0.75,1.0,1.4,3.0,0.0,0.0,1,1,1,10000,240,240,1,240
