UTC,name
31222,Heavy Helicopter Company
QFEBC,testing
U4477,Combat HET Company
U5BNN,Light/Medium Truck Company
U6477,Combat HET Company
U7BNN,Medium Truck Company (7500 Gal Tank)
UBBNN,Medium Truck Company (5000 Gal Tank)
UBE77,Light/Medium Truck Company
UKBNN,Trans Medium Watercraft Company
UL444,Medium Truck Company (40-ft Container/Cargo)
UUQ77,Light/Medium Truck Company
UWUTT,Medium Truck Company (20-ft Container/Cargo)
UZ477,Medium Truck Ccompany PLS
