Name,BerthType,UnitEquipment,Resupply,Ammo,Special,POL,Pax
POL TANKER,BBULK/RORO,0,0,0,0,0,0
POL TANKER,RORO,0,0,0,0,0,0
POL TANKER,ALL-PURPOSE,0,0,0,0,2000,0
T-ACS,RORO/CONTNR,2800,2800,0,0,0,0
T-ACS,BBULK/AMMO,0,0,800,0,0,0
T-ACS,VISA,0,0,0,0,0,0
T-ACS,BREAKBULK,0,0,0,0,0,0
T-ACS,OTHER,0,0,0,0,0,0
T-ACS,INTRA WATER,0,0,0,0,0,0
T-ACS,BARGE,0,0,0,0,0,0
T-ACS,GENERAL PURP,2800,2800,7000,0,5000,0
T-ACS,DOCK,0,0,0,0,0,0
T-ACS,CONT/AMMO,0,0,7000,0,0,0
T-ACS,BBULK/CONTNR,2800,2800,0,0,0,0
T-ACS,LIGHTER,0,0,0,0,0,0
T-ACS,TANKER,0,0,0,0,0,0
T-ACS,CONTAINER,2800,2800,7000,0,0,0
T-ACS,JLOTS,0,0,0,0,0,0
T-ACS,BBULK/RORO,0,0,0,0,0,0
T-ACS,RORO,0,0,0,0,0,0
T-ACS,ALL-PURPOSE,2800,2800,7000,0,5000,0
BREAKBULK,RORO/CONTNR,0,0,0,0,0,0
BREAKBULK,BBULK/AMMO,0,0,3500,0,0,0
BREAKBULK,VISA,0,0,0,0,0,0
BREAKBULK,BREAKBULK,1800,1800,0,0,0,0
BREAKBULK,OTHER,0,0,0,0,0,0
BREAKBULK,INTRA WATER,0,0,0,0,0,0
BREAKBULK,BARGE,0,0,0,0,0,0
BREAKBULK,GENERAL PURP,1800,1800,3500,0,5000,0
BREAKBULK,DOCK,0,0,0,0,0,0
BREAKBULK,CONT/AMMO,0,0,0,0,0,0
BREAKBULK,BBULK/CONTNR,1800,1800,0,0,0,0
BREAKBULK,LIGHTER,0,0,0,0,0,0
BREAKBULK,TANKER,0,0,0,0,0,0
BREAKBULK,CONTAINER,0,0,0,0,0,0
BREAKBULK,JLOTS,0,0,0,0,0,0
BREAKBULK,BBULK/RORO,1800,1800,3500,0,0,0
BREAKBULK,RORO,0,0,0,0,0,0
BREAKBULK,ALL-PURPOSE,1800,1800,3500,0,5000,0
BARGE(LASH),RORO/CONTNR,1200,1200,0,0,0,0
BARGE(LASH),BBULK/AMMO,0,0,1500,0,0,0
BARGE(LASH),VISA,0,0,0,0,0,0
BARGE(LASH),BREAKBULK,1000,1000,0,0,0,0
BARGE(LASH),OTHER,0,0,0,0,0,0
BARGE(LASH),INTRA WATER,0,0,0,0,0,0
BARGE(LASH),BARGE,0,0,0,0,0,0
BARGE(LASH),GENERAL PURP,1200,1200,1800,0,5000,0
BARGE(LASH),DOCK,0,0,0,0,0,0
BARGE(LASH),CONT/AMMO,0,0,1800,0,0,0
BARGE(LASH),BBULK/CONTNR,1200,1200,0,0,0,0
BARGE(LASH),LIGHTER,0,0,0,0,0,0
BARGE(LASH),TANKER,0,0,0,0,0,0
BARGE(LASH),CONTAINER,1200,1200,1800,0,0,0
BARGE(LASH),JLOTS,0,0,0,0,0,0
BARGE(LASH),BBULK/RORO,1000,1000,1800,0,0,0
BARGE(LASH),RORO,0,0,0,0,0,0
BARGE(LASH),ALL-PURPOSE,1200,1200,1800,0,5000,0
RO/RO(T-AKR),RORO/CONTNR,9000,6900,0,0,0,0
RO/RO(T-AKR),BBULK/AMMO,0,0,0,0,0,0
RO/RO(T-AKR),VISA,0,0,0,0,0,0
RO/RO(T-AKR),BREAKBULK,0,0,0,0,0,0
RO/RO(T-AKR),OTHER,0,0,0,0,0,0
RO/RO(T-AKR),INTRA WATER,0,0,0,0,0,0
RO/RO(T-AKR),BARGE,0,0,0,0,0,0
RO/RO(T-AKR),GENERAL PURP,9000,6900,6900,0,5000,0
RO/RO(T-AKR),DOCK,0,0,0,0,0,0
RO/RO(T-AKR),CONT/AMMO,0,0,6900,0,0,0
RO/RO(T-AKR),BBULK/CONTNR,0,0,0,0,0,0
RO/RO(T-AKR),LIGHTER,0,0,0,0,0,0
RO/RO(T-AKR),TANKER,0,0,0,0,0,0
RO/RO(T-AKR),CONTAINER,0,0,6900,0,0,0
RO/RO(T-AKR),JLOTS,3000,2300,2300,0,0,0
RO/RO(T-AKR),BBULK/RORO,9000,6900,0,0,0,0
RO/RO(T-AKR),RORO,9000,6900,0,0,0,0
RO/RO(T-AKR),ALL-PURPOSE,9000,6900,6900,0,5000,0
VISA CONT,RORO/CONTNR,0,0,0,0,0,0
VISA CONT,BBULK/AMMO,0,0,0,0,0,0
VISA CONT,VISA,0,5600,0,0,0,0
VISA CONT,BREAKBULK,0,0,0,0,0,0
VISA CONT,OTHER,0,0,0,0,0,0
VISA CONT,INTRA WATER,0,0,0,0,0,0
VISA CONT,BARGE,0,0,0,0,0,0
VISA CONT,GENERAL PURP,0,0,0,0,5000,0
VISA CONT,DOCK,0,0,0,0,0,0
VISA CONT,CONT/AMMO,0,0,0,0,0,0
VISA CONT,BBULK/CONTNR,0,0,0,0,0,0
VISA CONT,LIGHTER,0,0,0,0,0,0
VISA CONT,TANKER,0,0,0,0,0,0
VISA CONT,CONTAINER,0,0,0,0,0,0
VISA CONT,JLOTS,0,0,0,0,0,0
VISA CONT,BBULK/RORO,0,0,0,0,0,0
VISA CONT,RORO,0,0,0,0,0,0
VISA CONT,ALL-PURPOSE,0,0,0,0,5000,0
BULK CARRIER,RORO/CONTNR,5600,5600,0,0,0,0
BULK CARRIER,BBULK/AMMO,0,0,2800,0,0,0
BULK CARRIER,VISA,0,0,0,0,0,0
BULK CARRIER,BREAKBULK,1000,1300,0,0,0,0
BULK CARRIER,OTHER,0,0,0,0,0,0
BULK CARRIER,INTRA WATER,0,0,0,0,0,0
BULK CARRIER,BARGE,0,0,0,0,0,0
BULK CARRIER,GENERAL PURP,5600,5600,7000,0,5000,0
BULK CARRIER,DOCK,0,0,0,0,0,0
BULK CARRIER,CONT/AMMO,0,0,7000,0,0,0
BULK CARRIER,BBULK/CONTNR,5600,5600,0,0,0,0
BULK CARRIER,LIGHTER,0,0,0,0,0,0
BULK CARRIER,TANKER,0,0,0,0,0,0
BULK CARRIER,CONTAINER,5600,5600,7000,0,0,0
BULK CARRIER,JLOTS,0,0,0,0,0,0
BULK CARRIER,BBULK/RORO,1000,1000,0,0,0,0
BULK CARRIER,RORO,800,800,0,0,0,0
BULK CARRIER,ALL-PURPOSE,5600,5600,7000,0,5000,0
BARGE(T-AKB),RORO/CONTNR,1200,1200,0,0,0,0
BARGE(T-AKB),BBULK/AMMO,0,0,1500,0,0,0
BARGE(T-AKB),VISA,0,0,0,0,0,0
BARGE(T-AKB),BREAKBULK,1000,1000,0,0,0,0
BARGE(T-AKB),OTHER,0,0,0,0,0,0
BARGE(T-AKB),INTRA WATER,0,0,0,0,0,0
BARGE(T-AKB),BARGE,0,0,0,0,0,0
BARGE(T-AKB),GENERAL PURP,1200,1200,1800,0,5000,0
BARGE(T-AKB),DOCK,0,0,0,0,0,0
BARGE(T-AKB),CONT/AMMO,0,0,1800,0,0,0
BARGE(T-AKB),BBULK/CONTNR,1200,1200,0,0,0,0
BARGE(T-AKB),LIGHTER,0,0,0,0,0,0
BARGE(T-AKB),TANKER,0,0,0,0,0,0
BARGE(T-AKB),CONTAINER,1200,1200,1800,0,0,0
BARGE(T-AKB),JLOTS,0,0,0,0,0,0
BARGE(T-AKB),BBULK/RORO,1000,1000,1800,0,0,0
BARGE(T-AKB),RORO,0,0,0,0,0,0
BARGE(T-AKB),ALL-PURPOSE,1200,1200,1800,0,5000,0
CONT-NSS,RORO/CONTNR,3000,5600,0,0,0,0
CONT-NSS,BBULK/AMMO,0,0,2800,0,0,0
CONT-NSS,VISA,0,0,0,0,0,0
CONT-NSS,BREAKBULK,0,0,0,0,0,0
CONT-NSS,OTHER,0,0,0,0,0,0
CONT-NSS,INTRA WATER,0,0,0,0,0,0
CONT-NSS,BARGE,0,0,0,0,0,0
CONT-NSS,GENERAL PURP,3000,5600,7000,0,5000,0
CONT-NSS,DOCK,0,0,0,0,0,0
CONT-NSS,CONT/AMMO,0,0,7000,0,0,0
CONT-NSS,BBULK/CONTNR,3000,5600,0,0,0,0
CONT-NSS,LIGHTER,0,0,0,0,0,0
CONT-NSS,TANKER,0,0,0,0,0,0
CONT-NSS,CONTAINER,3000,5600,7000,0,0,0
CONT-NSS,JLOTS,0,0,0,0,0,0
CONT-NSS,BBULK/RORO,0,0,0,0,0,0
CONT-NSS,RORO,0,0,0,0,0,0
CONT-NSS,ALL-PURPOSE,3000,5600,7000,0,5000,0
CONT-SS,RORO/CONTNR,4200,4200,0,0,0,0
CONT-SS,BBULK/AMMO,0,0,2800,0,0,0
CONT-SS,VISA,0,0,0,0,0,0
CONT-SS,BREAKBULK,0,0,0,0,0,0
CONT-SS,OTHER,0,0,0,0,0,0
CONT-SS,INTRA WATER,0,0,0,0,0,0
CONT-SS,BARGE,0,0,0,0,0,0
CONT-SS,GENERAL PURP,4200,4200,7000,0,5000,0
CONT-SS,DOCK,0,0,0,0,0,0
CONT-SS,CONT/AMMO,0,0,7000,0,0,0
CONT-SS,BBULK/CONTNR,4200,4200,0,0,0,0
CONT-SS,LIGHTER,0,0,0,0,0,0
CONT-SS,TANKER,0,0,0,0,0,0
CONT-SS,CONTAINER,4200,4200,7000,0,0,0
CONT-SS,JLOTS,0,0,0,0,0,0
CONT-SS,BBULK/RORO,0,0,0,0,0,0
CONT-SS,RORO,0,0,0,0,0,0
CONT-SS,ALL-PURPOSE,4200,4200,7000,0,5000,0
COMBO,RORO/CONTNR,7000,7000,0,0,0,0
COMBO,BBULK/AMMO,0,0,2800,0,0,0
COMBO,VISA,0,0,0,0,0,0
COMBO,BREAKBULK,0,0,0,0,0,0
COMBO,OTHER,0,0,0,0,0,0
COMBO,INTRA WATER,0,0,0,0,0,0
COMBO,BARGE,0,0,0,0,0,0
COMBO,GENERAL PURP,7000,7000,4600,0,5000,0
COMBO,DOCK,0,0,0,0,0,0
COMBO,CONT/AMMO,0,0,7000,0,0,0
COMBO,BBULK/CONTNR,0,0,0,0,0,0
COMBO,LIGHTER,0,0,0,0,0,0
COMBO,TANKER,0,0,0,0,0,0
COMBO,CONTAINER,7000,7000,4600,0,0,0
COMBO,JLOTS,2400,2400,2400,0,0,0
COMBO,BBULK/RORO,4600,4600,0,0,0,0
COMBO,RORO,4600,4600,0,0,0,0
COMBO,ALL-PURPOSE,7000,7000,4600,0,5000,0
CLF,RORO/CONTNR,1800,1800,0,0,0,0
CLF,BBULK/AMMO,0,0,3500,0,0,0
CLF,VISA,0,0,0,0,0,0
CLF,BREAKBULK,1800,1800,0,0,0,0
CLF,OTHER,0,0,0,0,0,0
CLF,INTRA WATER,0,0,0,0,0,0
CLF,BARGE,0,0,0,0,0,0
CLF,GENERAL PURP,1800,1800,3500,0,5000,0
CLF,DOCK,0,0,0,0,0,0
CLF,CONT/AMMO,0,0,3500,0,0,0
CLF,BBULK/CONTNR,1800,1800,0,0,0,0
CLF,LIGHTER,0,0,0,0,0,0
CLF,TANKER,0,0,0,0,0,0
CLF,CONTAINER,1800,1800,3500,0,0,0
CLF,JLOTS,0,0,0,0,0,0
CLF,BBULK/RORO,1800,1800,0,0,0,0
CLF,RORO,1800,1800,0,0,0,0
CLF,ALL-PURPOSE,1800,1800,3500,0,5000,0
