Name,Index,Cargo,Pax,Pol,AirPax,AirStons,Bulk,Out,Over,Area,Vol,Cntr,SeaPax,SeaStons,SeaPol
Early,1,42989.4331987227,7649,546.9999980926514,7649,525.7000078186393,167.10000290721655,19.100000381469727,339.500004529953,42416.09985688329,0.0,47.633334020773574,0,42463.73319090406,546.9999980926514
On Time,2,18971.400073058903,1975,0.0,1975,445.6999979093671,75.7000000551343,0.0,369.9999978542328,18525.200071424246,0.0,0.4000000059604645,0,18525.600071430206,0.0
1 - 2 Days Late,3,20222.274812966338,2764,514.0,2764,716.4000034481287,187.7000019699335,0.0,528.7000014781952,18957.29970765114,0.0,548.5751018670469,0,19505.87480951821,514.0
3 - 5 Days Late,4,24962.004415406947,4167,418.9999990463257,4167,651.1000094016392,158.8000015815099,19.100000381469727,473.20000743865967,23339.00001886487,0.0,971.8043858052738,0,24310.804404670165,418.9999990463257
6 - 9 Days Late,5,13267.669447963313,5045,0.0,5045,32.900001207987465,24.800000826517735,0.0,8.100000381469727,12604.499875605106,0.0,630.1695688614009,0,13234.669444466506,0.0
10+ Days Late,6,15906.439877124634,16731,0.0,16731,23.0,0.0,9.0,14.0,15165.999882340431,192.89999890327454,524.3399930914244,0,15883.239874335137,0.0
No Move,7,1.5781747571018059,0,2.86102294921875E-6,0,-1.9785761196544627E-5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,2.0782046756648924,2.86102294921875E-6
