Key,Day,Enabled,Description,EventPhase,DayIndex,ShiftIndex,OpenHH,OpenMM,CloseHH,CloseMM
PYKG,0,true,,,0,0,0,0,24,0
DPMD,0,true,,,0,0,0,0,24,0
SBDZ,0,true,,,0,0,0,0,24,0
ADNE,0,true,,,0,0,0,0,24,0
RBXH,0,true,,,0,0,0,0,24,0
XRVJ,0,true,,,0,0,0,0,24,0
UTBR,0,true,,,0,0,0,0,24,0
TQPB,0,true,,,0,0,0,0,24,0
ZSAK,0,true,,,0,0,0,0,24,0
SBEA,0,true,,,0,0,0,0,24,0
TNZV,0,true,,,0,0,0,0,24,0
JXKM,0,true,,,0,0,0,0,24,0
PUCT,0,true,,,0,0,0,0,24,0
MCYS,0,true,,,0,0,0,0,24,0
PYKS,0,true,,,0,0,0,0,24,0
RJHC,0,true,,,0,0,0,0,24,0
FQZF,0,true,,,0,0,0,0,24,0
UTBS,0,true,,,0,0,0,0,24,0
STYW,0,true,,,0,0,0,0,24,0
RQFF,0,true,,,0,0,0,0,24,0
TVJD,0,true,,,0,0,0,0,24,0
VSNF,0,true,,,0,0,0,0,24,0
SBEQ,0,true,,,0,0,0,0,24,0
TNZY,0,true,,,0,0,0,0,24,0
VKNP,0,true,,,0,0,0,0,24,0
FERR,0,true,,,0,0,0,0,24,0
NLFL,0,true,,,0,0,0,0,24,0
FGDD,0,true,,,0,0,0,0,24,0
FUPD,0,true,,,0,0,0,0,24,0
FGTW,0,true,,,0,0,0,0,24,0
UTAC,0,true,,,0,0,0,0,24,0
RCYT,0,true,,,0,0,0,0,24,0
RULV,0,true,,,0,0,0,0,24,0
RCYQ,0,true,,,0,0,0,0,24,0
00IO,0,true,,,0,0,0,0,24,0
APFD,0,true,,,0,0,0,0,24,0
BBGP,0,true,,,0,0,0,0,24,0
XVMN,0,true,,,0,0,0,0,24,0
DKSD,0,true,,,0,0,0,0,24,0
FNSH,0,true,,,0,0,0,0,24,0
WUND,0,true,,,0,0,0,0,24,0
EZMU,0,true,,,0,0,0,0,24,0
ADNK,0,true,,,0,0,0,0,24,0
VFVN,0,true,,,0,0,0,0,24,0
APGW,0,true,,,0,0,0,0,24,0
AHXM,0,true,,,0,0,0,0,24,0
TTWZ,0,true,,,0,0,0,0,24,0
JSSN,0,true,,,0,0,0,0,24,0
AYYY,0,true,,,0,0,0,0,24,0
BQWA,0,true,,,0,0,0,0,24,0
YLHU,0,true,,,0,0,0,0,24,0
EMVX,0,true,,,0,0,0,0,24,0
EMVY,0,true,,,0,0,0,0,24,0
TDXQ,0,true,,,0,0,0,0,24,0
JTUX,0,true,,,0,0,0,0,24,0
AVBU,0,true,,,0,0,0,0,24,0
AEQT,0,true,,,0,0,0,0,24,0
ZLVW,0,true,,,0,0,0,0,24,0
TPPR,0,true,,,0,0,0,0,24,0
JJRP,0,true,,,0,0,0,0,24,0
DKVL,0,true,,,0,0,0,0,24,0
JTVH,0,true,,,0,0,0,0,24,0
REPV,0,true,,,0,0,0,0,24,0
LWEV,0,true,,,0,0,0,0,24,0
AHWQ,0,true,,,0,0,0,0,24,0
FMAZ,0,true,,,0,0,0,0,24,0
RQFK,0,true,,,0,0,0,0,24,0
DKTT,0,true,,,0,0,0,0,24,0
YKVG,0,true,,,0,0,0,0,24,0
RRHU,0,true,,,0,0,0,0,24,0
XSHO,0,true,,,0,0,0,0,24,0
NBDY,0,true,,,0,0,0,0,24,0
TKDW,0,true,,,0,0,0,0,24,0
RRHQ,0,true,,,0,0,0,0,24,0
WMPT,0,true,,,0,0,0,0,24,0
GPEN,0,true,,,0,0,0,0,24,0
VFVD,0,true,,,0,0,0,0,24,0
YRTK,0,true,,,0,0,0,0,24,0
AVTB,0,true,,,0,0,0,0,24,0
LCMT,0,true,,,0,0,0,0,24,0
JWJY,0,true,,,0,0,0,0,24,0
WPVT,0,true,,,0,0,0,0,24,0
RUAD,0,true,,,0,0,0,0,24,0
DRUG,0,true,,,0,0,0,0,24,0
ALRF,0,true,,,0,0,0,0,24,0
SHDV,0,true,,,0,0,0,0,24,0
ZABF,0,true,,,0,0,0,0,24,0
AMCQ,0,true,,,0,0,0,0,24,0
KZPH,0,true,,,0,0,0,0,24,0
CHCY,0,true,,,0,0,0,0,24,0
TKXB,0,true,,,0,0,0,0,24,0
RUAM,0,true,,,0,0,0,0,24,0
UJBZ,0,true,,,0,0,0,0,24,0
MZJK,0,true,,,0,0,0,0,24,0
ZQAJ,0,true,,,0,0,0,0,24,0
DKGL,0,true,,,0,0,0,0,24,0
VFXM,0,true,,,0,0,0,0,24,0
RUAQ,0,true,,,0,0,0,0,24,0
LKPE,0,true,,,0,0,0,0,24,0
LRNC,0,true,,,0,0,0,0,24,0
GVDN,0,true,,,0,0,0,0,24,0
ZMJJ,0,true,,,0,0,0,0,24,0
NBHO,0,true,,,0,0,0,0,24,0
TUJL,0,true,,,0,0,0,0,24,0
WQZM,0,true,,,0,0,0,0,24,0
AQLW,0,true,,,0,0,0,0,24,0
UMXA,0,true,,,0,0,0,0,24,0
TQRU,0,true,,,0,0,0,0,24,0
JYPN,0,true,,,0,0,0,0,24,0
RPWO,0,true,,,0,0,0,0,24,0
MFRN,0,true,,,0,0,0,0,24,0
MBJJ,0,true,,,0,0,0,0,24,0
ZQAH,0,true,,,0,0,0,0,24,0
HAGC,0,true,,,0,0,0,0,24,0
SFPM,0,true,,,0,0,0,0,24,0
UTVT,0,true,,,0,0,0,0,24,0
XDMT,0,true,,,0,0,0,0,24,0
EGNN,0,true,,,0,0,0,0,24,0
RZMJ,0,true,,,0,0,0,0,24,0
CHEX,0,true,,,0,0,0,0,24,0
CHEV,0,true,,,0,0,0,0,24,0
PVKT,0,true,,,0,0,0,0,24,0
PKVP,0,true,,,0,0,0,0,24,0
PCFG,0,true,,,0,0,0,0,24,0
PCFC,0,true,,,0,0,0,0,24,0
QMFZ,0,true,,,0,0,0,0,24,0
YLMY,0,true,,,0,0,0,0,24,0
NDNK,0,true,,,0,0,0,0,24,0
QTUP,0,true,,,0,0,0,0,24,0
NPVL,0,true,,,0,0,0,0,24,0
VSTN,0,true,,,0,0,0,0,24,0
ZNMC,0,true,,,0,0,0,0,24,0
NPTW,0,true,,,0,0,0,0,24,0
UYQR,0,true,,,0,0,0,0,24,0
TPRZ,0,true,,,0,0,0,0,24,0
NPTR,0,true,,,0,0,0,0,24,0
TPRW,0,true,,,0,0,0,0,24,0
LUTP,0,true,,,0,0,0,0,24,0
NPTU,0,true,,,0,0,0,0,24,0
VFHY,0,true,,,0,0,0,0,24,0
VFHZ,0,true,,,0,0,0,0,24,0
XVRV,0,true,,,0,0,0,0,24,0
HUPR,0,true,,,0,0,0,0,24,0
BYKC,0,true,,,0,0,0,0,24,0
PTFY,0,true,,,0,0,0,0,24,0
TPSL,0,true,,,0,0,0,0,24,0
JKWG,0,true,,,0,0,0,0,24,0
TQUK,0,true,,,0,0,0,0,24,0
TQUH,0,true,,,0,0,0,0,24,0
JKWP,0,true,,,0,0,0,0,24,0
GFVP,0,true,,,0,0,0,0,24,0
WYKZ,0,true,,,0,0,0,0,24,0
CWCP,0,true,,,0,0,0,0,24,0
ZBES,0,true,,,0,0,0,0,24,0
