GeolocCode,BerthName,CraneName
UNAP,UNAPGENERAL PU04,UNAPGENERAL PU04_Crane
UNAP,UNAPGENERAL PU05,UNAPGENERAL PU05_Crane
UNAP,UNAPGENERAL PU06,UNAPGENERAL PU06_Crane
UNAP,UNAPGENERAL PU07,UNAPGENERAL PU07_Crane
UNAP,UNAPGENERAL PU08,UNAPGENERAL PU08_Crane
UNAP,UNAPVISA      01,UNAPVISA      01_Crane
LYRV,LYRVVISA      01,LYRVVISA      01_Crane
AELU,AELUVISA      01,AELUVISA      01_Crane
NNWH,NNWHVISA      01,NNWHVISA      01_Crane
ABFL,ABFLBBULK/RORO01,ABFLBBULK/RORO01_Crane
ABFL,ABFLBBULK/RORO02,ABFLBBULK/RORO02_Crane
ABFL,ABFLBBULK/RORO03,ABFLBBULK/RORO03_Crane
ABFL,ABFLBBULK/RORO04,ABFLBBULK/RORO04_Crane
ABFL,ABFLBBULK/RORO05,ABFLBBULK/RORO05_Crane
ABFL,ABFLBBULK/RORO06,ABFLBBULK/RORO06_Crane
ABFL,ABFLBBULK/RORO07,ABFLBBULK/RORO07_Crane
ABFL,ABFLBBULK/RORO08,ABFLBBULK/RORO08_Crane
ABFL,ABFLBREAKBULK 01,ABFLBREAKBULK 01_Crane
ABFL,ABFLBREAKBULK 02,ABFLBREAKBULK 02_Crane
ABFL,ABFLGENERAL PU01,ABFLGENERAL PU01_Crane
ABFL,ABFLGENERAL PU02,ABFLGENERAL PU02_Crane
ABFL,ABFLGENERAL PU03,ABFLGENERAL PU03_Crane
ABFL,ABFLVISA      01,ABFLVISA      01_Crane
TQKG,TQKGGENERAL PU01,TQKGGENERAL PU01_Crane
TQKG,TQKGVISA      01,TQKGVISA      01_Crane
QNPW,QNPWBBULK/RORO01,QNPWBBULK/RORO01_Crane
QNPW,QNPWBREAKBULK 01,QNPWBREAKBULK 01_Crane
AJGX,AJGXVISA      01,AJGXVISA      01_Crane
RELG,RELGVISA      01,RELGVISA      01_Crane
TVXA,TVXABBULK/RORO01,TVXABBULK/RORO01_Crane
TVXA,TVXABBULK/RORO02,TVXABBULK/RORO02_Crane
TVXA,TVXABBULK/RORO03,TVXABBULK/RORO03_Crane
TVXA,TVXABREAKBULK 01,TVXABREAKBULK 01_Crane
TVXA,TVXAGENERAL PU01,TVXAGENERAL PU01_Crane
TVXA,TVXAGENERAL PU02,TVXAGENERAL PU02_Crane
ADKH,ADKHBBULK/RORO01,ADKHBBULK/RORO01_Crane
ADKH,ADKHBBULK/RORO02,ADKHBBULK/RORO02_Crane
ADKH,ADKHBBULK/RORO03,ADKHBBULK/RORO03_Crane
ADKH,ADKHGENERAL PU01,ADKHGENERAL PU01_Crane
MLWY,MLWYBBULK/RORO01,MLWYBBULK/RORO01_Crane
MLWY,MLWYBBULK/RORO02,MLWYBBULK/RORO02_Crane
MLWY,MLWYGENERAL PU01,MLWYGENERAL PU01_Crane
LYTM,LYTMJLOTS     01,LYTMJLOTS     01_Crane
LYTM,LYTMVISA      01,LYTMVISA      01_Crane
WPAU,WPAUGENERAL PU01,WPAUGENERAL PU01_Crane
00XT,00XTALL-PURPOS01,00XTALL-PURPOS01_Crane
WTJG,WTJGVISA      01,WTJGVISA      01_Crane
SMXS,SMXSVISA      01,SMXSVISA      01_Crane
ENCN,ENCNBBULK/RORO01,ENCNBBULK/RORO01_Crane
ENCN,ENCNBBULK/RORO02,ENCNBBULK/RORO02_Crane
ENCN,ENCNBREAKBULK 01,ENCNBREAKBULK 01_Crane
ENCN,ENCNGENERAL PU01,ENCNGENERAL PU01_Crane
ADLS,ADLS berth general purpose,Gantry: ADLS berth general purpose 1
ADLS,ADLS berth general purpose,Container: ADLS berth general purpose 1
ADLS,ADLS berth general purpose,MobCranes: AL MAHDIYAH -ADLS-PRT
ADLS,ADLS berth container,Container: ADLS berth container 1
ADLS,ADLS berth container,Gantry: ADLS berth container 1
ADLS,ADLS berth container,MobCranes: AL MAHDIYAH -ADLS-PRT
RBXH,RBXHBBULK/RORO01,RBXHBBULK/RORO01_Crane
RBXH,RBXHGENERAL PU01,RBXHGENERAL PU01_Crane
XRVJ,XRVJVISA      01,XRVJVISA      01_Crane
SBEA,NORFOLK all-purpose berth-SBEA,NORFOLK gantry crane-SBEA
JXKM,JXKMGENERAL PU01,JXKMGENERAL PU01_Crane
JXKM,JXKMVISA      01,JXKMVISA      01_Crane
FQZF,all-purpose berth-FQZF Terminal-19855,gantry crane-FQZF Terminal-19856
TVJD,TVJDBBULK/CONT01,TVJDBBULK/CONT01_Crane
TVJD,TVJDBBULK/RORO01,TVJDBBULK/RORO01_Crane
TVJD,TVJDBREAKBULK 01,TVJDBREAKBULK 01_Crane
TVJD,TVJDBREAKBULK 02,TVJDBREAKBULK 02_Crane
TVJD,TVJDBREAKBULK 03,TVJDBREAKBULK 03_Crane
TVJD,TVJDBREAKBULK 04,TVJDBREAKBULK 04_Crane
TVJD,TVJDGENERAL PU01,TVJDGENERAL PU01_Crane
TVJD,TVJDGENERAL PU02,TVJDGENERAL PU02_Crane
TVJD,TVJDGENERAL PU03,TVJDGENERAL PU03_Crane
TVJD,TVJDGENERAL PU04,TVJDGENERAL PU04_Crane
TVJD,TVJDGENERAL PU05,TVJDGENERAL PU05_Crane
TVJD,TVJDGENERAL PU06,TVJDGENERAL PU06_Crane
TVJD,TVJDGENERAL PU07,TVJDGENERAL PU07_Crane
TVJD,TVJDGENERAL PU08,TVJDGENERAL PU08_Crane
TVJD,TVJDGENERAL PU09,TVJDGENERAL PU09_Crane
TVJD,TVJDGENERAL PU10,TVJDGENERAL PU10_Crane
TVJD,TVJDGENERAL PU11,TVJDGENERAL PU11_Crane
TVJD,TVJDGENERAL PU12,TVJDGENERAL PU12_Crane
TVJD,TVJDGENERAL PU13,TVJDGENERAL PU13_Crane
TVJD,TVJDVISA      01,TVJDVISA      01_Crane
VSNF,VSNFVISA      01,VSNFVISA      01_Crane
TNZY,TNZYBBULK/RORO01,TNZYBBULK/RORO01_Crane
TNZY,TNZYBBULK/RORO02,TNZYBBULK/RORO02_Crane
TNZY,TNZYBBULK/RORO03,TNZYBBULK/RORO03_Crane
TNZY,TNZYBBULK/RORO04,TNZYBBULK/RORO04_Crane
TNZY,TNZYBBULK/RORO05,TNZYBBULK/RORO05_Crane
TNZY,TNZYBREAKBULK 01,TNZYBREAKBULK 01_Crane
VKNP,Safaqis cont-1 berth,Gantry: Safaqis cont-1 berth 1
VKNP,Safaqis cont-1 berth,Container: Safaqis cont-1 berth 1
VKNP,Safaqis cont-1 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis cont-2 berth,Gantry: Safaqis cont-2 berth 1
VKNP,Safaqis cont-2 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis cont-2 berth,Container: Safaqis cont-2 berth 1
VKNP,Safaqis NE-1 berth,Gantry: Safaqis NE-1 berth 1
VKNP,Safaqis NE-1 berth,Container: Safaqis NE-1 berth 1
VKNP,Safaqis NE-1 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis NE-2 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis NE-2 berth,Container: Safaqis NE-2 berth 1
VKNP,Safaqis NE-2 berth,Gantry: Safaqis NE-2 berth 1
VKNP,Safaqis NW-1 berth,Gantry: Safaqis NW-1 berth 1
VKNP,Safaqis NW-1 berth,Container: Safaqis NW-1 berth 1
VKNP,Safaqis NW-1 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis tanker berth,Container: Safaqis tanker berth 1
VKNP,Safaqis tanker berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,Safaqis tanker berth,Gantry: Safaqis tanker berth 1
VKNP,Safaqis NW-2 berth,Container: Safaqis NW-2 berth 1
VKNP,Safaqis NW-2 berth,Gantry: Safaqis NW-2 berth 1
VKNP,Safaqis NW-2 berth,MobCranes: SAFAQIS -VKNP-PRT
VKNP,SALT,MobCranes: SAFAQIS -VKNP-PRT
VKNP,SALT,Gantry: SALT 1
VKNP,SALT,Container: SALT 1
NLFL,NLFLGENERAL PU01,NLFLGENERAL PU01_Crane
FGDD,FGDDBBULK/RORO01,FGDDBBULK/RORO01_Crane
FGDD,FGDDGENERAL PU01,FGDDGENERAL PU01_Crane
FGTW,FGTW berth container,Gantry: FGTW berth container 1
FGTW,FGTW berth container,MobCranes: DJERBA -FGTW-PRT
FGTW,FGTW berth container,Container: FGTW berth container 1
FGTW,FGTW berth general purpose,MobCranes: DJERBA -FGTW-PRT
FGTW,FGTW berth general purpose,Container: FGTW berth general purpose 1
FGTW,FGTW berth general purpose,Gantry: FGTW berth general purpose 1
UTAC,SAN DIEGO all-purpose berth-UTAC,SAN DIEGO gantry crane-UTAC
RCYT,RCYTVISA      01,RCYTVISA      01_Crane
RULV,NEWPORT NEWS all-purpose berth-RULV,NEWPORT NEWS gantry crane-RULV
RCYQ,RCYQVISA      01,RCYQVISA      01_Crane
00IO,00IOGENERAL PU01,00IOGENERAL PU01_Crane
APFD,all-purpose berth-APFD Terminal-19858,MobCranes: AS SUKHAYRAH -APFD-PRT
XVMN,XVMNVISA      01,XVMNVISA      01_Crane
DKSD,Charleston-all-purpose berth-DKSD -19778,gantry crane-DKSD Terminal-19779
FNSH,FNSHVISA      01,FNSHVISA      01_Crane
EZMU,EZMUVISA      01,EZMUVISA      01_Crane
VFVN,VFVNGENERAL PU01,VFVNGENERAL PU01_Crane
VFVN,VFVNGENERAL PU02,VFVNGENERAL PU02_Crane
VFVN,VFVNGENERAL PU03,VFVNGENERAL PU03_Crane
VFVN,VFVNVISA      01,VFVNVISA      01_Crane
APGW,APGWVISA      01,APGWVISA      01_Crane
JSSN,JSSNVISA      01,JSSNVISA      01_Crane
BQWA,BQWAVISA      01,BQWAVISA      01_Crane
AVBU,all-purpose berth-AVBU Terminal-19773,gantry crane-AVBU Terminal-19774
AEQT,AEQTVISA      01,AEQTVISA      01_Crane
ZLVW,ZLVWBBULK/RORO01,ZLVWBBULK/RORO01_Crane
ZLVW,ZLVWBBULK/RORO02,ZLVWBBULK/RORO02_Crane
ZLVW,ZLVWBREAKBULK 01,ZLVWBREAKBULK 01_Crane
ZLVW,ZLVWGENERAL PU01,ZLVWGENERAL PU01_Crane
TPPR,TPPRGENERAL PU01,TPPRGENERAL PU01_Crane
TPPR,TPPRVISA      01,TPPRVISA      01_Crane
JJRP,JJRPVISA      01,JJRPVISA      01_Crane
JTVH,GULFPORT all-purpose berth-JTVH,GULFPORT gantry crane-JTVH -19785
REPV,REPVBBULK/AMMO01,REPVBBULK/AMMO01_Crane
REPV,REPVBBULK/CONT01,REPVBBULK/CONT01_Crane
REPV,REPVBBULK/RORO01,REPVBBULK/RORO01_Crane
REPV,REPVBBULK/RORO02,REPVBBULK/RORO02_Crane
REPV,REPVBBULK/RORO03,REPVBBULK/RORO03_Crane
REPV,REPVBBULK/RORO04,REPVBBULK/RORO04_Crane
REPV,REPVVISA      01,REPVVISA      01_Crane
LWEV,LWEVBBULK/RORO01,LWEVBBULK/RORO01_Crane
LWEV,LWEVGENERAL PU01,LWEVGENERAL PU01_Crane
LWEV,LWEVGENERAL PU02,LWEVGENERAL PU02_Crane
LWEV,LWEVGENERAL PU03,LWEVGENERAL PU03_Crane
FMAZ,FMAZVISA      01,FMAZVISA      01_Crane
RRHU,RRHUVISA      01,RRHUVISA      01_Crane
NBDY,NBDYVISA      01,NBDYVISA      01_Crane
TKDW,TKDWBBULK/CONT01,TKDWBBULK/CONT01_Crane
TKDW,TKDWBBULK/CONT02,TKDWBBULK/CONT02_Crane
TKDW,TKDWBBULK/RORO01,TKDWBBULK/RORO01_Crane
TKDW,TKDWBBULK/RORO02,TKDWBBULK/RORO02_Crane
TKDW,TKDWBBULK/RORO03,TKDWBBULK/RORO03_Crane
TKDW,TKDWBBULK/RORO04,TKDWBBULK/RORO04_Crane
TKDW,TKDWBBULK/RORO05,TKDWBBULK/RORO05_Crane
TKDW,TKDWGENERAL PU01,TKDWGENERAL PU01_Crane
TKDW,TKDWGENERAL PU02,TKDWGENERAL PU02_Crane
TKDW,TKDWGENERAL PU03,TKDWGENERAL PU03_Crane
TKDW,TKDWGENERAL PU04,TKDWGENERAL PU04_Crane
WMPT,WMPTBBULK/AMMO01,WMPTBBULK/AMMO01_Crane
WMPT,WMPTBREAKBULK 01,WMPTBREAKBULK 01_Crane
WMPT,WMPTCONT/AMMO 01,WMPTCONT/AMMO 01_Crane
GPEN,GPENVISA      01,GPENVISA      01_Crane
YRTK,YRTKGENERAL PU01,YRTKGENERAL PU01_Crane
LCMT,LCMTVISA      01,LCMTVISA      01_Crane
JWJY,JWJYVISA      01,JWJYVISA      01_Crane
WPVT,TACOMA all-purpose berth-WPVT,TACOMA gantry crane-WPVT
DRUG,DRUGBREAKBULK 01,DRUGBREAKBULK 01_Crane
DRUG,DRUGGENERAL PU01,DRUGGENERAL PU01_Crane
ALRF,ALRFVISA      01,ALRFVISA      01_Crane
AMCQ,AMCQGENERAL PU01,AMCQGENERAL PU01_Crane
KZPH,KZPHVISA      01,KZPHVISA      01_Crane
CHCY,CHCYBBULK/RORO01,CHCYBBULK/RORO01_Crane
CHCY,CHCYBBULK/RORO02,CHCYBBULK/RORO02_Crane
CHCY,CHCYBBULK/RORO03,CHCYBBULK/RORO03_Crane
CHCY,CHCYGENERAL PU01,CHCYGENERAL PU01_Crane
CHCY,CHCYGENERAL PU02,CHCYGENERAL PU02_Crane
CHCY,CHCYGENERAL PU03,CHCYGENERAL PU03_Crane
MZJK,MZJKVISA      01,MZJKVISA      01_Crane
LKPE,LKPEBBULK/AMMO01,LKPEBBULK/AMMO01_Crane
LKPE,LKPECONT/AMMO 01,LKPECONT/AMMO 01_Crane
LRNC,LRNCVISA      01,LRNCVISA      01_Crane
ZMJJ,ZMJJVISA      01,ZMJJVISA      01_Crane
WQZM,WQZMVISA      01,WQZMVISA      01_Crane
UMXA,UMXAALL-PURPOS01,UMXAALL-PURPOS01_Crane
UMXA,UMXABBULK/RORO01,UMXABBULK/RORO01_Crane
JYPN,JYPNVISA      01,JYPNVISA      01_Crane
HAGC,HAGCVISA      01,HAGCVISA      01_Crane
UTVT,UTVTGENERAL PU01,UTVTGENERAL PU01_Crane
UTVT,UTVTVISA      01,UTVTVISA      01_Crane
EGNN,EGNNBBULK/AMMO01,EGNNBBULK/AMMO01_Crane
EGNN,EGNNBBULK/AMMO02,EGNNBBULK/AMMO02_Crane
EGNN,EGNNCONT/AMMO 01,EGNNCONT/AMMO 01_Crane
PKVP,PKVPBBULK/RORO01,PKVPBBULK/RORO01_Crane
PKVP,PKVPBBULK/RORO02,PKVPBBULK/RORO02_Crane
PKVP,PKVPGENERAL PU01,PKVPGENERAL PU01_Crane
PCFG,PCFGVISA      01,PCFGVISA      01_Crane
PCFC,PCFCVISA      01,PCFCVISA      01_Crane
QTUP,MOREHEAD CITY All PurP-QTUP -19793,MOREHEAD CITY gantry crane-QTUP
ZNMC,ZNMCBBULK/RORO01,ZNMCBBULK/RORO01_Crane
ZNMC,ZNMCBBULK/RORO02,ZNMCBBULK/RORO02_Crane
ZNMC,ZNMCBBULK/RORO03,ZNMCBBULK/RORO03_Crane
ZNMC,ZNMCBBULK/RORO04,ZNMCBBULK/RORO04_Crane
ZNMC,ZNMCGENERAL PU01,ZNMCGENERAL PU01_Crane
ZNMC,ZNMCGENERAL PU02,ZNMCGENERAL PU02_Crane
ZNMC,ZNMCGENERAL PU03,ZNMCGENERAL PU03_Crane
ZNMC,ZNMCGENERAL PU04,ZNMCGENERAL PU04_Crane
ZNMC,ZNMCGENERAL PU05,ZNMCGENERAL PU05_Crane
ZNMC,ZNMCRORO      01,ZNMCRORO      01_Crane
ZNMC,ZNMCVISA      01,ZNMCVISA      01_Crane
UYQR,UYQRBREAKBULK 01,UYQRBREAKBULK 01_Crane
UYQR,UYQRGENERAL PU01,UYQRGENERAL PU01_Crane
TPRW,TPRWVISA      01,TPRWVISA      01_Crane
LUTP,LUTPBBULK/RORO01,LUTPBBULK/RORO01_Crane
LUTP,LUTPBBULK/RORO02,LUTPBBULK/RORO02_Crane
LUTP,LUTPBBULK/RORO03,LUTPBBULK/RORO03_Crane
LUTP,LUTPBBULK/RORO04,LUTPBBULK/RORO04_Crane
LUTP,LUTPBBULK/RORO05,LUTPBBULK/RORO05_Crane
LUTP,LUTPBBULK/RORO06,LUTPBBULK/RORO06_Crane
LUTP,LUTPBBULK/RORO07,LUTPBBULK/RORO07_Crane
LUTP,LUTPBBULK/RORO08,LUTPBBULK/RORO08_Crane
LUTP,LUTPBBULK/RORO09,LUTPBBULK/RORO09_Crane
LUTP,LUTPBBULK/RORO10,LUTPBBULK/RORO10_Crane
LUTP,LUTPBBULK/RORO11,LUTPBBULK/RORO11_Crane
LUTP,LUTPGENERAL PU01,LUTPGENERAL PU01_Crane
LUTP,LUTPGENERAL PU02,LUTPGENERAL PU02_Crane
