Geoloc,SeaportGeolocCode,MaxQueue,MaxDraft,JLOTS,Active,Constrained,Ocean,Bunkering,MaxMilitaryShips,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,RoroOnloadRate,RoroOffloadRate,EquipmentStorage,CostPerMTon,CostPerTEU,CostPerVoyage,AccessorialsMton,AccessorialsTeu,WriMton,WriTeu,Label
BSRL,BSRL,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,279,50000,0,0,0,0,""
AKUU,AKUU,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
FVMT,FVMT,30,999,false,false,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EDME,EDME,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,31,265,50000,0,0,0,0,""
XYNK,XYNK,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,34,251,50000,0,0,0,0,""
NJNK,NJNK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JWTD,JWTD,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,269,50000,0,0,0,0,""
RRRK,RRRK,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,22,201,50000,0,0,0,0,""
LYAP,LYAP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,295,50000,0,0,0,0,""
MKAG,MKAG,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,25,300,50000,0,0,0,0,""
FNLD,FNLD,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,280,50000,0,0,0,0,""
UEND,UEND,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
CAMK,CAMK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
XUDT,XUDT,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,32,224,50000,0,0,0,0,""
RGJW,RGJW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,285,50000,0,0,0,0,""
SBNB,SBNB,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
WMY2,WMY2,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
HQLL,HQLL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QCFA,QCFA,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QHPF,QHPF,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,291,50000,0,0,0,0,""
QHPB,QHPB,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,297,50000,0,0,0,0,""
QHPD,QHPD,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,279,50000,0,0,0,0,""
PPSH,PPSH,30,999,false,true,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,21,206,50000,0,0,0,0,""
AZTG,AZTG,30,999,false,false,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AZTE,AZTE,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PPSC,PPSC,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QCFF,QCFF,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,39,285,50000,0,0,0,0,""
STRM,STRM,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,271,50000,0,0,0,0,""
CWGV,CWGV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,35,247,50000,0,0,0,0,""
RRQL,RRQL,30,999,false,false,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
USZV,USZV,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UZXJ,UZXJ,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,38,238,50000,0,0,0,0,""
HMGB,HMGB,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,224,50000,0,0,0,0,""
PAXM,PAXM,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,289,50000,0,0,0,0,""
XEXW,XEXW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,280,50000,0,0,0,0,""
NSQN,NSQN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
FXSK,FXSK,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LSGM,LSGM,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,26,243,50000,0,0,0,0,""
WHAH,WHAH,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RGNP,RGNP,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NSAN,NSAN,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,27,291,50000,0,0,0,0,""
TNVX,TNVX,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,39,277,50000,0,0,0,0,""
MMGH,MMGH,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,20,296,50000,0,0,0,0,""
TGWS,TGWS,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,295,50000,0,0,0,0,""
GUYU,GUYU,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UNAP,UNAP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,20,267,50000,0,0,0,0,""
FMLT,FMLT,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LYRV,LYRV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,273,50000,0,0,0,0,""
AELU,AELU,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,257,50000,0,0,0,0,""
NNWH,NNWH,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,227,50000,0,0,0,0,""
ABFL,ABFL,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,28,274,50000,0,0,0,0,""
APRJ,APRJ,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
DDQW,DDQW,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
GGNJ,GGNJ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TQKG,TQKG,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,30,243,50000,0,0,0,0,""
DGGD,DGGD,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QNPW,QNPW,30,999,false,true,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,30,263,50000,0,0,0,0,""
CMXJ,CMXJ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AJGX,AJGX,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,33,279,50000,0,0,0,0,""
RELG,RELG,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,21,224,50000,0,0,0,0,""
ABXK,ABXK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
