Geoloc,SeaportGeolocCode,MaxQueue,MaxDraft,JLOTS,Active,Constrained,Ocean,Bunkering,MaxMilitaryShips,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,RoroOnloadRate,RoroOffloadRate,EquipmentStorage,CostPerMTon,CostPerTEU,CostPerVoyage,AccessorialsMton,AccessorialsTeu,WriMton,WriTeu,Label
JJRP,JJRP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,27,232,50000,0,0,0,0,""
DKVL,DKVL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JTVH,JTVH,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,22,228,50000,0,0,0,0,""
REPV,REPV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,35,280,50000,0,0,0,0,""
LWEV,LWEV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,24,290,50000,0,0,0,0,""
AHWQ,AHWQ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
FMAZ,FMAZ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,239,50000,0,0,0,0,""
RQFK,RQFK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
DKTT,DKTT,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
YKVG,YKVG,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RRHU,RRHU,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,29,215,50000,0,0,0,0,""
XSHO,XSHO,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NBDY,NBDY,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,30,253,50000,0,0,0,0,""
TKDW,TKDW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,253,50000,0,0,0,0,""
RRHQ,RRHQ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
WMPT,WMPT,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,34,256,50000,0,0,0,0,""
GPEN,GPEN,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,227,50000,0,0,0,0,""
VFVD,VFVD,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
YRTK,YRTK,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,30,237,50000,0,0,0,0,""
AVTB,AVTB,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
LCMT,LCMT,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,30,211,50000,0,0,0,0,""
JWJY,JWJY,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,278,50000,0,0,0,0,""
WPVT,WPVT,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,22,284,50000,0,0,0,0,""
RUAD,RUAD,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
DRUG,DRUG,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,31,255,50000,0,0,0,0,""
ALRF,ALRF,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,36,289,50000,0,0,0,0,""
SHDV,SHDV,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ZABF,ZABF,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
AMCQ,AMCQ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,218,50000,0,0,0,0,""
KZPH,KZPH,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,20,204,50000,0,0,0,0,""
CHCY,CHCY,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,20,273,50000,0,0,0,0,""
TKXB,TKXB,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RUAM,RUAM,30,999,false,true,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,37,238,50000,0,0,0,0,""
UJBZ,UJBZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MZJK,MZJK,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,203,50000,0,0,0,0,""
ZQAJ,ZQAJ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
DKGL,DKGL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VFXM,VFXM,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
RUAQ,RUAM,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,37,292,50000,0,0,0,0,""
LKPE,LKPE,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,25,291,50000,0,0,0,0,""
LRNC,LRNC,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,34,235,50000,0,0,0,0,""
GVDN,GVDN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ZMJJ,ZMJJ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,287,50000,0,0,0,0,""
NBHO,NBHO,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TUJL,TUJL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
WQZM,WQZM,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,266,50000,0,0,0,0,""
AQLW,AQLW,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UMXA,UMXA,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,29,224,50000,0,0,0,0,""
TQRU,TQRU,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JYPN,JYPN,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,25,229,50000,0,0,0,0,""
RPWO,RPWO,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MFRN,MFRN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
MBJJ,MBJJ,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ZQAH,ZQAH,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
HAGC,HAGC,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,23,273,50000,0,0,0,0,""
SFPM,SFPM,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UTVT,UTVT,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,262,50000,0,0,0,0,""
XDMT,XDMT,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
EGNN,EGNN,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,26,253,50000,0,0,0,0,""
RZMJ,RZMJ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
CHEX,CHEX,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
CHEV,CHEV,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PVKT,PVKT,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PKVP,PKVP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,220,50000,0,0,0,0,""
PCFG,PCFG,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,26,245,50000,0,0,0,0,""
PCFC,PCFC,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,259,50000,0,0,0,0,""
QMFZ,QMFZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
YLMY,YLMY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NDNK,NDNK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
QTUP,QTUP,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,32,234,50000,0,0,0,0,""
NPVL,NPVL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VSTN,VSTN,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
ZNMC,ZNMC,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,218,50000,0,0,0,0,""
NPTW,NPTW,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
UYQR,UYQR,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,23,300,50000,0,0,0,0,""
TPRZ,TPRZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
NPTR,NPTR,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TPRW,TPRW,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,39,210,50000,0,0,0,0,""
LUTP,LUTP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,251,50000,0,0,0,0,""
NPTU,NPTU,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,22,252,50000,0,0,0,0,""
VFHY,VFHY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
VFHZ,VFHZ,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
XVRV,XVRV,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,40,229,50000,0,0,0,0,""
HUPR,HUPR,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,32,260,50000,0,0,0,0,""
BYKC,BYKC,30,999,false,false,false,false,false,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
PTFY,PTFY,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TPSL,TPSL,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JKWG,JKWG,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TQUK,TQUK,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
TQUH,TQUH,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
JKWP,JKWP,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
GFVP,GFVP,30,999,false,false,false,false,true,6,4000,6000,2300,2600,1200,1800,1742400,0,0,0,0,0,0,0,""
WYKZ,WYKZ,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,37,290,50000,0,0,0,0,""
CWCP,CWCP,30,999,false,true,true,false,false,6,4000,6000,2300,2600,1200,1800,1742400,33,273,50000,0,0,0,0,""
ZBES,ZBES,30,999,false,true,true,false,true,6,4000,6000,2300,2600,1200,1800,1742400,20,243,50000,0,0,0,0,""
