Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
LUTP,LUTPBBULK/RORO07,0,true,,,3690,44,800,60,2000,0
LUTP,LUTPBBULK/RORO08,0,true,,,2460,36,800,60,2000,0
LUTP,LUTPBBULK/RORO09,0,true,,,656,36,800,60,2000,0
LUTP,LUTPBBULK/RORO10,0,true,,,1722,39,800,60,2000,0
LUTP,LUTPBBULK/RORO11,0,true,,,1640,36,800,60,2000,0
LUTP,LUTPGENERAL PU01,0,true,,,7052,39,800,60,2000,0
LUTP,LUTPGENERAL PU02,0,true,,,5330,44,800,60,2000,0
LUTP,LUTPRORO      01,0,true,,,1476,44,800,60,2000,0
LUTP,LUTPVISA      01,0,true,,,9999,99,800,60,2000,0
NPTU,LONG BEACH all-purpose berth-NPTU,0,true,,,5000,55,800,120,2000,0
XVRV,XVRVVISA      01,0,true,,,9999,99,800,60,2000,0
HUPR,HUPRVISA      01,0,true,,,9999,99,800,60,2000,0
WYKZ,WYKZVISA      01,0,true,,,9999,99,800,60,2000,0
CWCP,CWCPVISA      01,0,true,,,9999,99,800,60,2000,0
ZBES,WILMINGTON all-purpose berth-ZBES,0,true,,,5000,55,800,120,2000,0
