Geoloc,Name,Day,Enabled,Description,EventPhase,Length,Depth,Width,ApronWidth,TankerLoadRate,PolConnections
QHPF,QHPFGENERAL PU01,0,true,,,1508,42,800,60,2000,0
QHPF,QHPFGENERAL PU02,0,true,,,1508,34,800,60,2000,0
QHPF,QHPFVISA      01,0,true,,,9999,99,800,60,2000,0
QHPB,QHPBBBULK/RORO01,0,true,,,6156,37,800,60,2000,0
QHPB,QHPBBBULK/RORO02,0,true,,,7692,37,800,60,2000,0
QHPB,QHPBBBULK/RORO03,0,true,,,3078,37,800,60,2000,0
QHPB,QHPBGENERAL PU01,0,true,,,4001,43,800,60,2000,0
QHPB,QHPBVISA      01,0,true,,,9999,99,800,60,2000,0
QHPD,QHPDBBULK/RORO01,0,true,,,656,37,800,60,2000,0
QHPD,QHPDBBULK/RORO02,0,true,,,1312,37,800,60,2000,0
QHPD,QHPDGENERAL PU01,0,true,,,1968,37,800,60,2000,0
QCFF,QCFFVISA      01,0,true,,,9999,99,800,60,2000,0
STRM,STRMGENERAL PU01,0,true,,,1600,40,800,60,2000,0
CWGV,CWGVVISA      01,0,true,,,9999,99,800,60,2000,0
RRQL,RRQLBBULK/RORO01,0,true,,,2000,35,800,60,2000,0
RRQL,RRQLBBULK/RORO02,0,true,,,4144,35,800,60,2000,0
RRQL,RRQLBBULK/RORO03,0,true,,,2790,35,800,60,2000,0
RRQL,RRQLBREAKBULK 01,0,true,,,4010,35,800,60,2000,0
RRQL,RRQLBREAKBULK 02,0,true,,,2150,35,800,60,2000,0
RRQL,RRQLBREAKBULK 03,0,true,,,2923,35,800,60,2000,0
RRQL,RRQLGENERAL PU01,0,true,,,5308,37,800,60,2000,0
RRQL,RRQLGENERAL PU02,0,true,,,2923,35,800,60,2000,0
UZXJ,SAVANNAH all-purpose berth-UZXJ,0,true,,,5000,55,800,120,2000,0
HMGB,HMGBVISA      01,0,true,,,9999,99,800,60,2000,0
PAXM,PAXMVISA      01,0,true,,,9999,99,800,60,2000,0
XEXW,XEXWVISA      01,0,true,,,9999,99,800,60,2000,0
LSGM,JACKSONVILLE all-purpose berth-LSGM,0,true,,,5000,55,800,120,2000,0
NSAN,NSANGENERAL PU01,0,true,,,1000,45,800,60,2000,0
NSAN,NSANVISA      01,0,true,,,9999,99,800,60,2000,0
TNVX,TNVXVISA      01,0,true,,,9999,99,800,60,2000,0
MMGH,MMGHGENERAL PU01,0,true,,,2361,39,800,60,2000,0
MMGH,MMGHGENERAL PU02,0,true,,,918,46,800,60,2000,0
MMGH,MMGHGENERAL PU03,0,true,,,787,37,800,60,2000,0
MMGH,MMGHGENERAL PU04,0,true,,,4362,46,800,60,2000,0
MMGH,MMGHRORO      01,0,true,,,2427,23,800,60,2000,0
MMGH,MMGHVISA      01,0,true,,,9999,99,800,60,2000,0
TGWS,TGWSVISA      01,0,true,,,9999,99,800,60,2000,0
UNAP,UNAPBBULK/RORO01,0,true,,,600,36,800,60,2000,0
UNAP,UNAPBBULK/RORO02,0,true,,,600,36,800,60,2000,0
UNAP,UNAPBBULK/RORO03,0,true,,,600,36,800,60,2000,0
UNAP,UNAPBBULK/RORO04,0,true,,,2283,36,800,60,2000,0
UNAP,UNAPBBULK/RORO05,0,true,,,500,34,800,60,2000,0
UNAP,UNAPBBULK/RORO06,0,true,,,500,34,800,60,2000,0
UNAP,UNAPBBULK/RORO07,0,true,,,500,34,800,60,2000,0
UNAP,UNAPBBULK/RORO08,0,true,,,500,34,800,60,2000,0
UNAP,UNAPBBULK/RORO09,0,true,,,500,34,800,60,2000,0
UNAP,UNAPBBULK/RORO10,0,true,,,3000,34,800,60,2000,0
UNAP,UNAPBBULK/RORO11,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO12,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO13,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO14,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO15,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO16,0,true,,,600,34,800,60,2000,0
UNAP,UNAPBBULK/RORO17,0,true,,,5256,34,800,60,2000,0
UNAP,UNAPBBULK/RORO18,0,true,,,700,42,800,60,2000,0
UNAP,UNAPBBULK/RORO19,0,true,,,700,36,800,60,2000,0
UNAP,UNAPBBULK/RORO20,0,true,,,750,34,800,60,2000,0
UNAP,UNAPBBULK/RORO21,0,true,,,750,34,800,60,2000,0
UNAP,UNAPBBULK/RORO22,0,true,,,750,34,800,60,2000,0
UNAP,UNAPBBULK/RORO23,0,true,,,750,34,800,60,2000,0
UNAP,UNAPBBULK/RORO24,0,true,,,750,34,800,60,2000,0
UNAP,UNAPBBULK/RORO25,0,true,,,6795,34,800,60,2000,0
UNAP,UNAPGENERAL PU01,0,true,,,1148,30,800,60,2000,0
UNAP,UNAPGENERAL PU02,0,true,,,2624,40,800,60,2000,0
UNAP,UNAPGENERAL PU03,0,true,,,2624,43,800,60,2000,0
UNAP,UNAPGENERAL PU04,0,true,,,2624,35,800,60,2000,0
UNAP,UNAPGENERAL PU05,0,true,,,4100,32,800,60,2000,0
UNAP,UNAPGENERAL PU06,0,true,,,1256,36,800,60,2000,0
UNAP,UNAPGENERAL PU07,0,true,,,5900,32,800,60,2000,0
UNAP,UNAPGENERAL PU08,0,true,,,3600,32,800,60,2000,0
UNAP,UNAPVISA      01,0,true,,,9999,99,800,60,2000,0
LYRV,LYRVVISA      01,0,true,,,9999,99,800,60,2000,0
AELU,AELUVISA      01,0,true,,,9999,99,800,60,2000,0
NNWH,NNWHVISA      01,0,true,,,9999,99,800,60,2000,0
ABFL,ABFLBBULK/RORO01,0,true,,,1772,36,800,60,2000,0
ABFL,ABFLBBULK/RORO02,0,true,,,1181,43,800,60,2000,0
ABFL,ABFLBBULK/RORO03,0,true,,,2214,43,800,60,2000,0
ABFL,ABFLBBULK/RORO04,0,true,,,1180,36,800,60,2000,0
ABFL,ABFLBBULK/RORO05,0,true,,,1180,36,800,60,2000,0
ABFL,ABFLBBULK/RORO06,0,true,,,1770,36,800,60,2000,0
ABFL,ABFLBBULK/RORO07,0,true,,,1180,39,800,60,2000,0
ABFL,ABFLBBULK/RORO08,0,true,,,1295,36,800,60,2000,0
ABFL,ABFLBREAKBULK 01,0,true,,,623,46,800,60,2000,0
ABFL,ABFLBREAKBULK 02,0,true,,,2063,30,800,60,2000,0
ABFL,ABFLGENERAL PU01,0,true,,,3148,43,800,60,2000,0
ABFL,ABFLGENERAL PU02,0,true,,,1180,39,800,60,2000,0
ABFL,ABFLGENERAL PU03,0,true,,,1574,46,800,60,2000,0
ABFL,ABFLVISA      01,0,true,,,9999,99,800,60,2000,0
TQKG,TQKGGENERAL PU01,0,true,,,2876,40,800,60,2000,0
TQKG,TQKGVISA      01,0,true,,,9999,99,800,60,2000,0
QNPW,QNPWBBULK/RORO01,0,true,,,1607,49,800,60,2000,0
QNPW,QNPWBREAKBULK 01,0,true,,,551,29,800,60,2000,0
AJGX,AJGXVISA      01,0,true,,,9999,99,800,60,2000,0
RELG,RELGVISA      01,0,true,,,9999,99,800,60,2000,0
TVXA,TVXABBULK/RORO01,0,true,,,750,31,800,60,2000,0
TVXA,TVXABBULK/RORO02,0,true,,,650,30,800,60,2000,0
TVXA,TVXABBULK/RORO03,0,true,,,1200,28,800,60,2000,0
TVXA,TVXABREAKBULK 01,0,true,,,600,30,800,60,2000,0
TVXA,TVXAGENERAL PU01,0,true,,,1500,34,800,60,2000,0
TVXA,TVXAGENERAL PU02,0,true,,,1200,30,800,60,2000,0
