Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
MLDLGENERAL PU01_Crane,MLDL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MLDLVISA      01_Crane,MLDL,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
VPRFVISA      01_Crane,VPRF,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TZL4GENERAL PU01_Crane,TZL4,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TZL4GENERAL PU02_Crane,TZL4,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MobCranes: BIZERTE -BSRL-PRT,BSRL,true,-999,99999,MOBILE,2,100,100,3000,3000,true
Gantry: BSRL berth container 1,BSRL,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: BSRL berth container 1,BSRL,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: BSRL berth general purpose 1,BSRL,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: BSRL berth general purpose 1,BSRL,true,-999,99999,GANTRY,1,288,288,8000,8000,false
FVMTBBULK/RORO01_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTBBULK/RORO02_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU01_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU02_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU03_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU04_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU05_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FVMTGENERAL PU06_Crane,FVMT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
EDMEVISA      01_Crane,EDME,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
XYNKVISA      01_Crane,XYNK,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
JWTDVISA      01_Crane,JWTD,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
NEW YORK gantry crane-RRRK,RRRK,true,-999,99999,GANTRY,10,288,288,8000,8000,true
LYAPVISA      01_Crane,LYAP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MKAGVISA      01_Crane,MKAG,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
