Name,GeolocCode,Active,FromDay,ToDay,CraneType,Quantity,ContainerOffloadRate,ContainerOnloadRate,BreakbulkOffloadRate,BreakbulkOnloadRate,ServesAll
Container: Safaqis NE-1 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: Safaqis cont-1 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Safaqis cont-2 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
MobCranes: SAFAQIS -VKNP-PRT,VKNP,true,-999,99999,MOBILE,2,100,100,3000,3000,true
Gantry: SALT 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Container: SALT 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: Safaqis NE-2 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: Safaqis cont-2 berth 1,VKNP,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: Safaqis tanker berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
Gantry: Safaqis NE-2 berth 1,VKNP,true,-999,99999,GANTRY,1,288,288,8000,8000,false
NLFLGENERAL PU01_Crane,NLFL,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FGDDBBULK/RORO01_Crane,FGDD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FGDDGENERAL PU01_Crane,FGDD,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MobCranes: EL KALA -FUPD-PRT,FUPD,true,-999,99999,MOBILE,2,100,100,3000,3000,false
Gantry: FGTW berth container 1,FGTW,true,-999,99999,GANTRY,1,288,288,8000,8000,false
MobCranes: DJERBA -FGTW-PRT,FGTW,true,-999,99999,MOBILE,2,100,100,3000,3000,true
Container: FGTW berth container 1,FGTW,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Container: FGTW berth general purpose 1,FGTW,true,-999,99999,CONTAINER,1,144,144,4000,4000,false
Gantry: FGTW berth general purpose 1,FGTW,true,-999,99999,GANTRY,1,288,288,8000,8000,false
SAN DIEGO gantry crane-UTAC,UTAC,true,-999,99999,GANTRY,10,288,288,8000,8000,true
RCYTVISA      01_Crane,RCYT,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
NEWPORT NEWS gantry crane-RULV,RULV,true,-999,99999,GANTRY,10,288,288,8000,8000,true
RCYQVISA      01_Crane,RCYQ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
00IOGENERAL PU01_Crane,00IO,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MobCranes: AS SUKHAYRAH -APFD-PRT,APFD,true,-999,99999,MOBILE,2,100,100,3000,3000,true
XVMNVISA      01_Crane,XVMN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
gantry crane-DKSD Terminal-19779,DKSD,true,-999,99999,GANTRY,10,288,288,8000,8000,true
FNSHVISA      01_Crane,FNSH,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
EZMUVISA      01_Crane,EZMU,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
VFVNGENERAL PU01_Crane,VFVN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
VFVNGENERAL PU02_Crane,VFVN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
VFVNGENERAL PU03_Crane,VFVN,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
VFVNVISA      01_Crane,VFVN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
APGWVISA      01_Crane,APGW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
JSSNVISA      01_Crane,JSSN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
BQWAVISA      01_Crane,BQWA,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
gantry crane-AVBU Terminal-19774,AVBU,true,-999,99999,GANTRY,10,288,288,8000,8000,true
AEQTVISA      01_Crane,AEQT,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
ZLVWBBULK/RORO01_Crane,ZLVW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZLVWBBULK/RORO02_Crane,ZLVW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZLVWBREAKBULK 01_Crane,ZLVW,true,-999,99999,MOBILE,1,450,450,1800,1800,false
ZLVWGENERAL PU01_Crane,ZLVW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TPPRGENERAL PU01_Crane,TPPR,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TPPRVISA      01_Crane,TPPR,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
JJRPVISA      01_Crane,JJRP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
GULFPORT gantry crane-JTVH -19785,JTVH,true,-999,99999,GANTRY,10,288,288,8000,8000,true
REPVBBULK/AMMO01_Crane,REPV,true,-999,99999,MOBILE,1,875,875,3500,3500,false
REPVBBULK/CONT01_Crane,REPV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
REPVBBULK/RORO01_Crane,REPV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
REPVBBULK/RORO02_Crane,REPV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
REPVBBULK/RORO03_Crane,REPV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
REPVBBULK/RORO04_Crane,REPV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
REPVVISA      01_Crane,REPV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
LWEVBBULK/RORO01_Crane,LWEV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LWEVGENERAL PU01_Crane,LWEV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LWEVGENERAL PU02_Crane,LWEV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LWEVGENERAL PU03_Crane,LWEV,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
FMAZVISA      01_Crane,FMAZ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RRHUVISA      01_Crane,RRHU,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
NBDYVISA      01_Crane,NBDY,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TKDWBBULK/CONT01_Crane,TKDW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TKDWBBULK/CONT02_Crane,TKDW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TKDWBBULK/RORO01_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWBBULK/RORO02_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWBBULK/RORO03_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWBBULK/RORO04_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWBBULK/RORO05_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWGENERAL PU01_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWGENERAL PU02_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWGENERAL PU03_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TKDWGENERAL PU04_Crane,TKDW,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
WMPTBBULK/AMMO01_Crane,WMPT,true,-999,99999,MOBILE,1,875,875,3500,3500,false
WMPTBREAKBULK 01_Crane,WMPT,true,-999,99999,MOBILE,1,450,450,1800,1800,false
WMPTCONT/AMMO 01_Crane,WMPT,true,-999,99999,MOBILE,1,1750,1750,7000,7000,false
GPENVISA      01_Crane,GPEN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
YRTKGENERAL PU01_Crane,YRTK,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MobCranes: BANZART -AVTB-PRT,AVTB,true,-999,99999,MOBILE,2,100,100,3000,3000,false
LCMTVISA      01_Crane,LCMT,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
JWJYVISA      01_Crane,JWJY,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
TACOMA gantry crane-WPVT,WPVT,true,-999,99999,GANTRY,10,288,288,8000,8000,true
DRUGBREAKBULK 01_Crane,DRUG,true,-999,99999,MOBILE,1,450,450,1800,1800,false
DRUGGENERAL PU01_Crane,DRUG,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ALRFVISA      01_Crane,ALRF,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
AMCQGENERAL PU01_Crane,AMCQ,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
KZPHVISA      01_Crane,KZPH,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
CHCYBBULK/RORO01_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CHCYBBULK/RORO02_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CHCYBBULK/RORO03_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CHCYGENERAL PU01_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CHCYGENERAL PU02_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
CHCYGENERAL PU03_Crane,CHCY,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
MZJKVISA      01_Crane,MZJK,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
RUAQ CRANE,RUAQ,true,0,99999,MOBILE,3,288,288,8000,8000,true
LKPEBBULK/AMMO01_Crane,LKPE,true,-999,99999,MOBILE,1,875,875,3500,3500,false
LKPECONT/AMMO 01_Crane,LKPE,true,-999,99999,MOBILE,1,1750,1750,7000,7000,false
LRNCVISA      01_Crane,LRNC,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
ZMJJVISA      01_Crane,ZMJJ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
WQZMVISA      01_Crane,WQZM,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UMXAALL-PURPOS01_Crane,UMXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UMXABBULK/RORO01_Crane,UMXA,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
JYPNVISA      01_Crane,JYPN,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: KELIBIA -MBJJ-PRT,MBJJ,true,-999,99999,MOBILE,2,100,100,3000,3000,false
HAGCVISA      01_Crane,HAGC,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UTVTGENERAL PU01_Crane,UTVT,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
UTVTVISA      01_Crane,UTVT,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
EGNNBBULK/AMMO01_Crane,EGNN,true,-999,99999,MOBILE,1,875,875,3500,3500,false
EGNNBBULK/AMMO02_Crane,EGNN,true,-999,99999,MOBILE,1,875,875,3500,3500,false
EGNNCONT/AMMO 01_Crane,EGNN,true,-999,99999,MOBILE,1,1750,1750,7000,7000,false
PKVPBBULK/RORO01_Crane,PKVP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
PKVPBBULK/RORO02_Crane,PKVP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
PKVPGENERAL PU01_Crane,PKVP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
PCFGVISA      01_Crane,PCFG,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
PCFCVISA      01_Crane,PCFC,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MOREHEAD CITY gantry crane-QTUP,QTUP,true,-999,99999,GANTRY,10,288,288,8000,8000,true
ZNMCBBULK/RORO01_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCBBULK/RORO02_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCBBULK/RORO03_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCBBULK/RORO04_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCGENERAL PU01_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCGENERAL PU02_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCGENERAL PU03_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCGENERAL PU04_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCGENERAL PU05_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCRORO      01_Crane,ZNMC,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
ZNMCVISA      01_Crane,ZNMC,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
UYQRBREAKBULK 01_Crane,UYQR,true,-999,99999,MOBILE,1,450,450,1800,1800,false
UYQRGENERAL PU01_Crane,UYQR,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
TPRWVISA      01_Crane,TPRW,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
LUTPBBULK/RORO01_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO02_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO03_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO04_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO05_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO06_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO07_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO08_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO09_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO10_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPBBULK/RORO11_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPGENERAL PU01_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPGENERAL PU02_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPRORO      01_Crane,LUTP,true,-999,99999,MOBILE,1,2250,2250,9000,9000,false
LUTPVISA      01_Crane,LUTP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
LONG BEACH gantry crane-NPTU,NPTU,true,-999,99999,GANTRY,10,288,288,8000,8000,true
XVRVVISA      01_Crane,XVRV,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
HUPRVISA      01_Crane,HUPR,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
MobCranes: BONE -BYKC-PRT,BYKC,true,-999,99999,MOBILE,2,100,100,3000,3000,false
WYKZVISA      01_Crane,WYKZ,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
CWCPVISA      01_Crane,CWCP,true,-999,99999,MOBILE,1,1400,1400,5600,5600,false
WILMINGTON gantry crane-ZBES,ZBES,true,-999,99999,GANTRY,10,288,288,8000,8000,true
