Name,GeolocCode,BerthType,BerthGroup,Active,FromDay,ToDay,Length,ShipSpacing,Depth,Width,ApronWidth,MilitaryAvailable,TankerLoadRate,AllowableCargo,Overhang,PolConnections
SERUGENERAL PU06,SERU,GENERAL PURP,SERUGENERAL PU06,false,0,99999,1353,50,35,800,60,true,2000,BOTH,0,0
SERUGENERAL PU07,SERU,GENERAL PURP,SERUGENERAL PU07,false,0,99999,1532,50,35,800,60,true,2000,BOTH,0,0
SERUGENERAL PU08,SERU,GENERAL PURP,SERUGENERAL PU08,false,0,99999,886,50,40,800,60,true,2000,BOTH,0,0
SERUGENERAL PU09,SERU,GENERAL PURP,SERUGENERAL PU09,false,0,99999,900,50,39,800,60,true,2000,BOTH,0,0
SERUGENERAL PU10,SERU,GENERAL PURP,SERUGENERAL PU10,false,0,99999,1082,50,40,800,60,true,2000,BOTH,0,0
SERUGENERAL PU11,SERU,GENERAL PURP,SERUGENERAL PU11,false,0,99999,862,50,40,800,60,true,2000,BOTH,0,0
SERUGENERAL PU12,SERU,GENERAL PURP,SERUGENERAL PU12,true,0,99999,1459,50,35,800,60,true,2000,BOTH,0,0
SERURORO/CONTN01,SERU,RORO/CONTNR,SERURORO/CONTN01,false,0,99999,950,50,35,800,60,true,2000,BOTH,0,0
SERUVISA      01,SERU,VISA,SERUVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
AAPVVISA      01,AAPV,VISA,AAPVVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TZYRBREAKBULK 01,TZYR,BREAKBULK,TZYRBREAKBULK 01,false,0,99999,656,50,24,800,60,true,2000,BOTH,0,0
TZYRGENERAL PU01,TZYR,GENERAL PURP,TZYRGENERAL PU01,true,0,99999,1701,50,32,800,60,true,2000,BOTH,0,0
MLDLGENERAL PU01,MLDL,GENERAL PURP,MLDLGENERAL PU01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
MLDLVISA      01,MLDL,VISA,MLDLVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
VPRFVISA      01,VPRF,VISA,VPRFVISA      01,true,0,99999,9999,50,99,800,60,true,2000,BOTH,0,0
TZL4GENERAL PU01,TZL4,GENERAL PURP,TZL4GENERAL PU01,true,0,99999,1200,50,36,800,60,true,2000,BOTH,0,0
TZL4GENERAL PU02,TZL4,GENERAL PURP,TZL4GENERAL PU02,true,0,99999,900,50,36,800,60,true,2000,BOTH,0,0
BSRL berth container,BSRL,CONTAINER,BG BSRL berth container,true,-999,99999,4000,50,90,800,180,true,2000,BOTH,0,0
BSRL berth general purpose,BSRL,GENERAL PURP,BG BSRL berth general purpose,true,-999,99999,4000,50,90,800,180,true,2000,BOTH,0,0
FVMTBBULK/RORO01,FVMT,BBULK/RORO,FVMTBBULK/RORO01,false,0,99999,1374,50,35,800,60,true,2000,BOTH,0,0
FVMTBBULK/RORO02,FVMT,BBULK/RORO,FVMTBBULK/RORO02,false,0,99999,1183,50,38,800,60,true,2000,BOTH,0,0
