Geoloc,Name,Day,Enabled,Description,EventPhase,Quantity,ContainerOnloadRate,ContainerOffloadRate,BreakbulkOnloadRate,BreakbulkOffloadRate
FVMT,FVMTGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU05_Crane,0,true,,,1,2250,2250,9000,9000
FVMT,FVMTGENERAL PU06_Crane,0,true,,,1,2250,2250,9000,9000
EDME,EDMEVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
XYNK,XYNKVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
JWTD,JWTDVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RRRK,NEW YORK gantry crane-RRRK,0,true,,,10,288,288,8000,8000
LYAP,LYAPVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
MKAG,MKAGVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
FNLD,FNLDGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
XUDT,XUDTVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RGJW,RGJWGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
RGJW,RGJWVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
WMY2,MobCranes: SUSAH -WMY2-PRT,0,true,,,2,100,100,3000,3000
QHPF,QHPFBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
QHPF,QHPFVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
QHPB,QHPBBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
QHPB,QHPBVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
QHPD,QHPDBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
QHPD,QHPDBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
QHPD,QHPDGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
QCFF,QCFFVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
STRM,STRMGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
CWGV,CWGVVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
RRQL,RRQLBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
RRQL,RRQLBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
RRQL,RRQLBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
RRQL,RRQLBREAKBULK 01_Crane,0,true,,,1,450,450,1800,1800
RRQL,RRQLBREAKBULK 02_Crane,0,true,,,1,450,450,1800,1800
RRQL,RRQLBREAKBULK 03_Crane,0,true,,,1,450,450,1800,1800
RRQL,RRQLGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
RRQL,RRQLGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
UZXJ,SAVANNAH gantry crane-UZXJ,0,true,,,10,288,288,8000,8000
HMGB,HMGBVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
PAXM,PAXMVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
XEXW,XEXWVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
LSGM,JACKSONVILLE gantry crane-LSGM,0,true,,,10,288,288,8000,8000
NSAN,NSANGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
NSAN,NSANVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TNVX,TNVXVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
MMGH,MMGHGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
MMGH,MMGHGENERAL PU02_Crane,0,true,,,1,2250,2250,9000,9000
MMGH,MMGHGENERAL PU03_Crane,0,true,,,1,2250,2250,9000,9000
MMGH,MMGHGENERAL PU04_Crane,0,true,,,1,2250,2250,9000,9000
MMGH,MMGHRORO      01_Crane,0,true,,,1,2250,2250,9000,9000
MMGH,MMGHVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
TGWS,TGWSVISA      01_Crane,0,true,,,1,1400,1400,5600,5600
UNAP,UNAPBBULK/RORO01_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO02_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO03_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO04_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO05_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO06_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO07_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO08_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO09_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO10_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO11_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO12_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO13_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO14_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO15_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO16_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO17_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO18_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO19_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO20_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO21_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO22_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO23_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO24_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPBBULK/RORO25_Crane,0,true,,,1,2250,2250,9000,9000
UNAP,UNAPGENERAL PU01_Crane,0,true,,,1,2250,2250,9000,9000
