Name,GeolocCode,TotalNewLimit
UNAPBBULK/RORO21,UNAP,2100000000
UNAPBBULK/RORO22,UNAP,2100000000
UNAPBBULK/RORO23,UNAP,2100000000
UNAPBBULK/RORO24,UNAP,2100000000
UNAPBBULK/RORO25,UNAP,2100000000
UNAPGENERAL PU01,UNAP,2100000000
UNAPGENERAL PU02,UNAP,2100000000
UNAPGENERAL PU03,UNAP,2100000000
UNAPGENERAL PU04,UNAP,2100000000
UNAPGENERAL PU05,UNAP,2100000000
UNAPGENERAL PU06,UNAP,2100000000
UNAPGENERAL PU07,UNAP,2100000000
UNAPGENERAL PU08,UNAP,2100000000
UNAPVISA      01,UNAP,2100000000
LYRVVISA      01,LYRV,2100000000
AELUVISA      01,AELU,2100000000
NNWHVISA      01,NNWH,2100000000
ABFLBBULK/RORO01,ABFL,2100000000
ABFLBBULK/RORO02,ABFL,2100000000
ABFLBBULK/RORO03,ABFL,2100000000
ABFLBBULK/RORO04,ABFL,2100000000
ABFLBBULK/RORO05,ABFL,2100000000
ABFLBBULK/RORO06,ABFL,2100000000
ABFLBBULK/RORO07,ABFL,2100000000
ABFLBBULK/RORO08,ABFL,2100000000
ABFLBREAKBULK 01,ABFL,2100000000
ABFLBREAKBULK 02,ABFL,2100000000
ABFLGENERAL PU01,ABFL,2100000000
ABFLGENERAL PU02,ABFL,2100000000
ABFLGENERAL PU03,ABFL,2100000000
ABFLVISA      01,ABFL,2100000000
TQKGGENERAL PU01,TQKG,2100000000
TQKGVISA      01,TQKG,2100000000
QNPWBBULK/RORO01,QNPW,2100000000
QNPWBREAKBULK 01,QNPW,2100000000
AJGXVISA      01,AJGX,2100000000
RELGVISA      01,RELG,2100000000
TVXABBULK/RORO01,TVXA,2100000000
TVXABBULK/RORO02,TVXA,2100000000
TVXABBULK/RORO03,TVXA,2100000000
TVXABREAKBULK 01,TVXA,2100000000
TVXAGENERAL PU01,TVXA,2100000000
TVXAGENERAL PU02,TVXA,2100000000
