Utc,Ulc,UtcShortName,Service,AuthPers,Pax,Cbbls,UtcLongName,DeployIndCode,SecurityClass,UtcStatus,OriginatorUic,RecordIndicator,ReferenceDoc,ReplacerUtc,CreateDate,ChangeDate,CancelDate,Configuration
527AA,CMD,COM NAV SURFGRU,N,60,60,0,COM NAV SURF GROUP,5,U,A,N00011,,NWP 11-1,,Jan 09 2087,Feb 11 2098,,7
527AB,CMD,COM NAV SURFRON,N,31,31,0,COM NAV SURF SQUADRON,5,U,A,N00011,,NWP 11-1,,Jan 09 2087,Feb 11 2098,,7
528AD,CMD,COM CAR GRU,N,55,55,0,COM CARRIER GROUP,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528AE,AUG,CAR GRU AUG,N,50,50,0,CARRIER GROUP AUGMENT,3,U,A,N00011,,NOT APPLICABLE,,Dec 07 2087,Feb 11 2098,,7
528CG,CMD,COM CRU-DES GRP,N,46,30,0,COM CRUISER-DESTROYER GROUP,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528DS,CMD,COM DESTROY SQD,N,18,18,0,COM DESTROYER SQUADRON,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528GD,CMD,COM MINE DIV,N,7,7,0,COM MINE DIVISION,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528GS,CMD,COM MINE SQD,N,52,52,0,COM MINE SQUADRON,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528HS,CMD,***CANCELLED***,N,0,98021,0,COM COMBATANT HYDROFOIL SQUADRON,,U,C,N00011,,,,Jan 09 2087,Feb 11 2098,,7
528JG,CMD,COM SERVICE GRP,N,69,69,0,COM SERVICE GROUP,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528JS,CMD,COM SERVICE SQD,N,67,67,0,COM SERVICE SQUADRON,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
528KF,CMD,COM SUB GROUP,N,54,54,0,COM SUBMARINE GROUP,5,U,A,N00011,, NOT APPLICABLE,,Oct 30 2081,Jun 08 2087,,7
528KG,CMD,COM SUB DEV GRP,N,144,144,0,COM SUBMARINE DEVELOPMENT GROUP,5,U,A,N00011,, NOT APPLICABLE,,Oct 30 2081,Oct 30 2081,,7
528KS,CMD,COM SUB SQD,N,39,39,0,COM SUBMARINE SQUADRON,5,U,A,N00011,, NOT APPLICABLE,,Oct 30 2081,Oct 30 2081,,7
528LS,CMD,COM AMPHIB SQD,N,75,75,0,COM AMPHIBIOUS SQUADRON,5,U,A,N00011,,NOT APPLICABLE,,Oct 30 2081,Feb 11 2098,,7
55LUA,NSC,NOTIONAL LCU,N,13,0,0,LCU-LANDING CRAFT UTILITY,5,U,A,N00011,,SECNAVINST. 5030.1H,,Oct 30 2081,Nov 14 2081,,7
5AUGS,AUG,WARSHIP STAF AU,N,30,30,0,WARSHIP STAFF AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Jul 17 2090,,7
5BBAA,AUG,***CANCELLED***,N,0,98021,0,BB AUGMENT,,U,C,N00011,,,,Dec 29 2086,Feb 11 2098,,7
5BBXA,USS,***CANCELLED***,N,0,98021,0,BB-BATTLE SHIP,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5CPMR,SQ,COOPMINERON,N,6,6,0,CRAFT OF OPPORTUNITY MINE SQUADRON,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Dec 29 2086,,7
5CPMU,U,COOPMINEUNIT,N,40,40,0,CRAFT OF OPPORTUNITY MINE UNIT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Dec 29 2086,,7
5CVAB,AUG,CV AUG CLASS 63,N,300,300,0,CV AUGMENT (CLASS 63),3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Feb 11 2098,,7
5CVAC,AUG,***CANCELLED***,N,0,98021,0,CV AUGMENT (CLASS 41),,U,C,N00011,,,,Jun 08 2087,Feb 11 2098,,7
5CVAD,AUG,CV AUGMENT CL67,N,280,280,0,CV AUGMENT (CLASS 67),3,U,A,N00011,,NAVAL RESERVE FORCE,,Jun 08 2087,Jun 08 2087,,7
5CVC1,USS,***CANCELLED***,N,0,98021,0,CV CARRIER (CLASS 59),,U,C,N00011,,,,May 22 2082,Feb 11 2098,,7
5CVC2,USS,CV CLASS 63,N,2955,0,0,CV CARRIER (CLASS 63),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5CVC3,USS,CV CLASS 67,N,2955,0,0,CV CARRIER (CLASS 67),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5CVC4,USS,***CANCELLED***,N,0,98021,0,CV CARRIER (CLASS 41),,U,C,N00011,,,,Sep 15 2082,Feb 11 2098,,7
5CVCA,USS,***CANCELLED***,N,0,98021,0,CV CARRIER,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5CVN1,USS,CVN-CLASS 68,N,3062,0,0,CVN-CARRIER (CLASS 68),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5CVN2,USS,CVN-CLASS 65,N,3197,0,0,CVN-CARRIER (CLASS 65),5,U,A,N00011,,NWP 11-1 (REV A),,Sep 15 2082,Feb 11 2098,,7
5CVNA,USS,***CANCELLED***,N,0,98021,0,CVN-CARRIER (NUCLEAR),,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5CVNB,AUG,CVN AUGMENT,N,300,300,0,CVN AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Jul 17 2090,,7
5CVTA,USS,***CANCELLED***,N,0,98021,0,AVT-TRAINING AIRCRAFT CARRIER,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5DDAA,AUG,DD CLASS 963,N,33,33,0,DD CLASS 963 PERS,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Jul 17 2090,,7
5DDD3,USS,DD-CLASS 963 NV,N,340,0,0,DD-DESTROYER (NON-VLS),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5DDDA,USS,***CANCELLED***,N,0,41,0,DD-DESTROYER  (VLS),,U,C,N00011,,,,Oct 30 2081,Apr 18 2000,,7
5DDG3,USS,DDG-CLASS 993,N,348,0,0,DDG-DESTROYER (CLASS 993),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5DDG5,USS,DDG-CLASS 51-78,N,324,0,0,DDG-DESTROYER (DDG 51-78),5,U,A,N00011,,NWP 11-1,,Jan 16 2091,Feb 11 2098,,7
5DDGA,USS,DDG-CLASS 79+,N,337,0,0,DDG-DESTROYER (DDG 79+),5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5DDGB,AUG,***CANCELLED***,N,0,98021,0,DDG AUGMENT,,U,C,N00011,,,,Dec 29 2086,Feb 11 2098,,7
5FFAA,AUG,***CANCELLED***,N,0,98021,0,FF AUGMENT,,U,C,N00011,,,,Dec 29 2086,Feb 11 2098,,7
5FFGA,AUG,FFG AUGMENT,N,60,60,0,FFG AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Dec 29 2086,Dec 29 2086,,7
5GDE5,USS,***CANCELLED***,N,0,98021,0,FFT-FRIGATE(TRAINING),,U,C,N00011,,,,Oct 06 2092,Feb 11 2098,,7
5GDEA,USS,***CANCELLED***,N,0,98021,0,FF-FRIGATE,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5GEG1,USS,FFG-CLASS 7,N,205,0,0,FFG-FRIGATE (CLASS 7),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5GEGA,USS,***CANCELLED***,N,0,98021,0,FFG-GUIDED MISSILE FRIGATE,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5GPC1,USS,PC,N,1,1,0,PATROL COASTAL (PC),5,U,A,N00011,,NWP 11-1,,Feb 23 2093,Feb 23 2093,,7
5GPG1,USS,***CANCELLED***,N,0,98021,0,PG-PATROL BOAT (CLASS 92),,U,C,N00011,,,,Sep 15 2082,Feb 11 2098,,7
5GPGA,USS,***CANCELLED***,N,0,98021,0,PG-PATROL GUN BOAT,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5JCG2,USS,CG-CLASS 47-51,N,387,0,0,CG-CRUISER (CG 47-51 NON-VLS),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5JCGD,USS,CG-CLASS 52-73,N,399,0,0,CG-CRUISER (CG 52-73 VLS),5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5JCGE,AUG,CG AUGMENT,N,35,35,0,CG AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 19 2090,Feb 23 2093,,7
5JGN3,USS,CGN-CLASS 36,N,576,0,0,CGN-CRUISER (CLASS 36),5,U,A,N00011,,NWP 11-1 (REV A),,May 22 2082,Feb 11 2098,,7
5JGN4,USS,***CANCELLED***,N,0,98021,0,CGN-CRUISER (CLASS 38),,U,C,N00011,,,,May 22 2082,Feb 11 2098,,7
5JGNA,USS,***CANCELLED***,N,0,98021,0,CGN-GUIDED MISSILE CRUISER,,U,C,N00011,,,,Oct 30 2081,Feb 11 2098,,7
5JGNB,AUG,***CANCELLED***,N,0,98021,0,CGN AUGMENT,,U,C,N00011,,,,Jul 19 2090,Feb 11 2098,,7
5LCCA,USS,LCC-CLASS 19,N,807,0,0,LCC-AMPH. COMMAND (CLASS 19),5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5LCCB,AUG,LCC-AMPHIB AUG,N,10,10,0,LCC-AMPH.COMMAND (CL 19) AUG,3,U,A,N00011,,NOT APPLICABLE,,Apr 21 2092,Feb 11 2098,,7
5LHAA,USS,LHA-CLASS 1,N,1016,0,0,LHA-AMPH. ASSAULT (CLASS 1),5,U,A,N00011,,NWP 11-1 (REV A),,Oct 30 2081,Feb 11 2098,,7
5LHAB,AUG,LHA-AMPHIB AUG,N,55,55,0,LHA-AMPHIBIOUS ASSAULT SHIP AUGMENT,3,U,A,N00011,,NAVAL RESERVE FORCE,,Jul 02 2093,Jul 02 2093,,7
5LHDA,USS,LHD AMPHIB,N,1080,0,0,LHD AMPHIB ASSAULT MULTI-PURPOSE,5,U,A,N00011,,NWP 11-1,,Dec 16 2087,Dec 16 2087,,7
