Utc,Ulc,UtcShortName,Service,AuthPers,Pax,Cbbls,UtcLongName,DeployIndCode,SecurityClass,UtcStatus,OriginatorUic,RecordIndicator,ReferenceDoc,ReplacerUtc,CreateDate,ChangeDate,CancelDate,Configuration
00077,DIV,LID 29TH DIV,A,11630,11630,0,LID 29TH DIV,1,U,A,W0ZUFF,,77000A300100,,Aug 25 2099,Jul 19 2002,,7
00BBB,CO,RFL CO INF BN (,A,110,110,0,RFL CO INF BN (MECH) (XXI),1,U,A,W0ZUFF,,07247F000100,,Feb 23 2099,Jul 21 2003,,7
00JJJ,CO,RIFLE CO INF BN,A,129,129,0,RIFLE CO INF BN (LIGHT),1,U,A,W0ZUFF,,07017L300100,,Jul 21 2003,Jul 21 2003,,7
01322,HHC,HHC INF DIV BDE,A,81,81,0,HHC INF DIV BDE  LID,1,U,A,W0ZUFF,,77042L000100,,Dec 26 2085,Jul 21 2003,,7
01P77,BN,***CANCELLED***,A,0,61,0,INF BN AA DIV  SE,,U,C,W0ZUFF,,,,Oct 29 2091,Jun 12 2000,,7
01Q77,DET,***CANCELLED***,A,0,99082,0,LRS DET MI BN  HVY,,U,C,W0ZUFF,,,,May 18 2094,Aug 25 2099,,7
021VV,HHC,***CANCELLED***,A,0,99080,0,HHC IN DIV ARTIC SPT TM,,U,C,W0ZUFF,,,,Mar 02 2087,Aug 04 2099,,7
02444,DIV,AIRBORNE DIVISI,A,13431,13431,0,AIRBORNE DIVISION AOE,1,U,A,W0ZUFF,,57000L000100,,Aug 28 2085,Jan 22 2002,,7
02JJJ,CO,ANTIARMOR CO IN,A,65,2012,0,ANTIARMOR CO INF BN M  IT,,U,C,W0ZUFF,,07248J200100,,Nov 09 2082,Jan 22 2002,,7
02Q77,HHC,HHC SEP INF BDE,A,263,261,0,HHC SEP INF BDE,1,U,A,W0ZUFF,,07402L100100,,May 18 2094,Jul 21 2003,,7
02SNN,HHC,HHC INF BN (ABN,A,195,195,0,HHC INF BN  ABN,1,U,A,W0ZUFF,,07036L000100,,Jun 06 2086,Jul 21 2003,,7
02VNN,BN,INFANTRY BN,A,745,745,0,INFANTRY BN,1,U,A,W0ZUFF,,07075L000100,,Sep 24 2086,Jul 21 2003,,7
03677,HHC,***CANCELLED***,A,0,99080,0,HHC AIR ASSAULT DIVISION,,U,C,W0ZUFF,,,,Oct 29 2091,Aug 04 2099,,7
03777,BN,INF BN AA DIV (,A,681,681,0,INF BN AA DIV (SE),1,U,A,W0ZUFF,,07055L100100,,Feb 05 2098,Jul 21 2003,,7
03Q77,HHC,HHC SEP INF BDE,A,384,384,0,HHC SEP INF BDE,1,U,A,W0ZUFF,,07402L200100,,May 18 2094,Jul 21 2003,,7
03SNN,CO,RIFLE CO (ABN),A,131,131,0,RIFLE CO  ABN,1,U,A,W0ZUFF,,07037L000100,,Jun 06 2086,Jul 21 2003,,7
043NN,HHC,***CANCELLED***,A,0,98020,0,HHC MP BATTALION  EPW CI,,U,C,W0ZUFF,,,,Sep 24 2086,Feb 19 2098,,7
04777,BN,INF BN (AASLT),A,674,674,0,INF BN (AASLT),1,U,A,W0ZUFF,,07055L200100,,Feb 05 2098,Jul 21 2003,,7
04BBB,BN,INF BN MECH (FX,A,492,492,0,INF BN MECH (FXXI),1,U,A,W0ZUFF,,07245F100100,,Feb 23 2099,Jul 21 2003,,7
04HHH,BN,***CANCELLED***,A,0,1050,0,INF BN (BCT),,U,C,W0ZUFF,,,,Aug 30 2000,May 02 2001,,7
04JJJ,CO,RIFLE CO INF BN,A,112,112,0,RIFLE CO INF BN MECH M113,1,U,A,W0ZUFF,,07247J220100,,Nov 09 2082,Nov 10 2099,,7
04VNN,HHC,HHC INF BN,A,217,217,0,HHC INF BN,1,U,A,W0ZUFF,,07076L000100,,Sep 24 2086,Jul 21 2003,,7
05777,HHC,HHC INF BN (AAS,A,201,201,0,HHC INF BN (AASLT),1,U,A,W0ZUFF,,07056L100100,,Feb 05 2098,Jul 21 2003,,7
05BBB,BN,MECH HVY CAB,A,442,442,0,MECH HVY CAB,1,U,A,W0ZUFF,,07245F200100,,Feb 23 2099,Jul 21 2003,,7
05HHH,HHC,***CANCELLED***,A,0,1050,0,HHC INF BN (BCT),,U,C,W0ZUFF,,,,Aug 30 2000,May 02 2001,,7
05Q77,BDE,***CANCELLED***,A,0,83,0,6TH SEP INF BDE  LT,,U,C,W0ZUFF,,,,Feb 22 2095,Aug 30 2000,,7
05SNN,BN,INFANTRY BN (RA,A,581,596,0,INFANTRY BN  RANGER,1,U,A,W0ZUFF,Y,       00581,,Jun 06 2086,Jul 21 2003,,7
05TTT,BN,INF BN  MECH,A,821,821,0,INF BN  MECH,1,U,A,W0ZUFF,,07245L000100,,Mar 18 2086,Nov 10 2099,,7
06222,BN,INFANTRY BN (LI,A,655,655,0,INF BN  LIGHT,1,U,A,W0ZUFF,,07015L000100,,Dec 26 2085,Jul 21 2003,,7
06333,BN,INF BN (M113/IT,A,836,0,0,INF BN (M113/ITV),1,U,A,W0ZUFF,V,07245C300100,,Jul 21 2003,Jul 21 2003,,7
06777,HHC,HHC INF BN (AAS,A,194,194,0,HHC INF BN (AASLT),1,U,A,W0ZUFF,,07056L200100,,Feb 05 2098,Jul 21 2003,,7
06BBB,BN,INF BN (M113/IT,A,837,837,0,INF BN (M113/ITV),1,U,A,W0ZUFF,,07245L300100,,Feb 23 2099,Jul 21 2003,,7
06D66,DET,***CANCELLED***,A,0,99080,0,LRS DET MI BN  HVY,,U,C,W0ZUFF,,,,Jul 28 2095,Aug 04 2099,,7
06HHH,CO,***CANCELLED***,A,0,1050,0,RIFLE CO INF BN (BCT),,U,C,W0ZUFF,,,,Aug 30 2000,May 02 2001,,7
06Q77,CO,***CANCELLED***,A,65,83,0,ANTIARMOR CO INF BN (MECH),,U,C,W0ZUFF,,,,Jul 28 2095,Aug 30 2000,,7
06VNN,CO,RIFLE CO INF BN,A,147,147,0,RIFLE CO INF BN,1,U,A,W0ZUFF,,07077L000100,,Sep 24 2086,Jul 21 2003,,7
07333,BN,INFANTRY BN (ME,A,711,0,0,INFANTRY BN (MECH),1,U,A,W0ZUFF,V,07245C400100,,Jul 21 2003,Jul 21 2003,,7
07BBB,HHC,HHC MECH INF (X,A,162,162,0,HHC MECH INF (XXI),1,U,A,W0ZUFF,,07246F100100,,Feb 23 2099,Jul 21 2003,,7
07D66,BN,***CANCELLED***,A,0,99080,0,INF BN MECHANIZED,,U,C,W0ZUFF,,,,Jul 28 2095,Aug 04 2099,,7
07R77,RGT,INFANTRY (RANGE,A,1879,1879,0,INFANTRY  RANGER  REGIMENT,1,U,A,W0ZUFF,,07300L000100,,Jul 28 2095,Jul 21 2003,,7
07SEE,DIV,***CANCELLED***,A,0,99080,0,AIR ASSAULT DIVISION,,U,C,W0ZUFF,,,,Jun 15 2087,Aug 04 2099,,7
08077,DIV,LID 10TH MTN DI,A,11556,11556,0,LID 10TH MTN DIV,1,U,A,W0ZUFF,,77000A100100,,Aug 25 2099,Jul 21 2003,,7
08BBB,HHC,HHC MECH HVY CA,A,159,159,0,HHC MECH HVY CAB (XXI),1,U,A,W0ZUFF,,07246F200100,,Feb 23 2099,Jul 21 2003,,7
08JJJ,HHC,HHC INF BN (ABN,A,191,191,0,HHC INF BN (ABN)(LT)(ARCTIC),1,U,A,W0ZUFF,,07016L300100,,Jul 21 2003,Jul 21 2003,,7
09077,DIV,LID 25TH DIV,A,11556,11556,0,LID 25TH DIV,1,U,A,W0ZUFF,,77000A200100,,Aug 25 2099,Jul 21 2003,,7
09BBB,HHC,HHC INF BN (M11,A,328,328,0,HHC INF BN (M113/ITV),1,U,A,W0ZUFF,,07246L300100,,Feb 23 2099,Jul 21 2003,,7
09JJJ,CO,RIFLE CO INF BN,A,129,129,0,RIFLE CO INF BN (LIGHT),1,U,A,W0ZUFF,,07017L200100,,Jul 21 2003,Jul 21 2003,,7
0A222,HHC,HHC INFANTRY BN,A,183,183,0,HHC INFANTRY BN  LIGHT,1,U,A,W0ZUFF,,       00183,,Dec 26 2085,Jul 21 2003,,7
0AA77,CO,RIFLE CO (AASLT,A,131,131,0,RIFLE CO (AASLT),1,U,A,W0ZUFF,,07057L200100,,Feb 05 2098,Jul 21 2003,,7
0AAHB,BN,"INF BN, E/W 106",A,746,746,0,"INF BN, E/W 106",1,U,A,W0Z2AA,,07015H010100,,Nov 14 2073,Nov 10 2099,,7
0ABBB,CO,RIFLE CO INF BN,A,111,111,0,RIFLE CO INF BN (M113),1,U,A,W0ZUFF,,07247L300100,,Feb 23 2099,Jul 21 2003,,7
0ACHC,CO,"CSC, INF BN  AB",A,105,105,0,"CSC, INF BN  ABN , E/W TO",1,U,A,W0Z2AA,,07038H020100,,Nov 14 2073,Jan 23 2090,,7
0ACHY,HHC,HHC  INF BN  ME,A,211,211,0,HHC  INF BN  MECH,1,U,A,W0Z2AA,,07046H020100,,Nov 14 2073,Nov 10 2099,,7
0ACJ1,HHC,HHC SEP INF BDE,A,348,348,0,HHC SEP INF BDE,1,U,A,W0Z2AA,,07102H000100,,Nov 14 2073,Nov 10 2099,,7
0AD66,HHC,***CANCELLED***,A,303,99022,0,HHC INF BN  MECH,,U,C,W0ZUFF,,,,Jul 28 2095,Feb 23 2099,,7
0AFHD,HHC,HHC  INF BN,A,149,149,0,HHC  INF BN,1,U,A,W0Z2AA,,07016H000100,,Nov 14 2073,Nov 10 2099,,7
0AFHF,CO,RIFLE CO  INF B,A,161,161,0,RIFLE CO  INF BN,1,U,A,W0Z2AA,,07018H000100,,Nov 14 2073,Nov 10 2099,,7
0AFHH,CO,"CSC, INF BN, E/",A,106,106,0,"CSC, INF BN, E/W 106",1,U,A,W0Z2AA,,07028H010100,,Nov 14 2073,Nov 10 2099,,7
0AJJJ,HHC,HHC INF BN MECH,A,312,312,0,HHC INF BN MECH M113,1,U,A,W0ZUFF,,07246J220100,,Nov 09 2082,Nov 10 2099,,7
0AR77,HHC,HHC AIR ASSAULT,A,248,248,0,HHC AIR ASSAULT DIVISION,1,U,A,W0ZUFF,,67004A000100,,Apr 17 2096,Jul 21 2003,,7
0AUGU,NSL,INF/ABN AUG,A,0,0,0,AUG TO TOE TYPE UNITS INF/AIRBORNE,9,U,A,W0ZUFF,,ARMY TDA,,Jun 22 2071,Jun 22 2071,,7
0AVNN,CO,***CANCELLED***,A,87,83,0,ANTIARMOR CO,,U,C,W0ZUFF,,,,Sep 24 2086,Aug 30 2000,,7
0BA77,CO,***CANCELLED***,A,87,83,0,ANTIARMOR COMPANY,,U,C,W0ZUFF,,,,Feb 05 2098,Aug 30 2000,,7
0BCBB,CO,***CANCELLED***,A,65,83,0,ANTIARMOR CO INF BN (CFV),,U,C,W0ZUFF,,,,Feb 23 2099,Aug 30 2000,,7
0BJJJ,BN,LOSAT BATTALION,A,327,327,0,LOSAT BATTALION,1,U,A,W0ZUFF,,07065A000100,,Jul 21 2003,Jul 21 2003,,7
0BKHH,HHC,HHC INF BDE (BC,A,133,133,0,HHC INF BDE (BCT),1,U,A,W0ZUFF,,47102F000100,,Aug 30 2000,Jul 21 2003,,7
0BR77,HHC,***CANCELLED***,A,271,99082,0,HHC  INF DIV  MECH,,U,C,W0ZUFF,,,,Apr 17 2096,Aug 25 2099,,7
0BVNN,HHC,"HHC,INF BN (RAN",A,160,182,0,HHC INF BN  RANGER,1,U,A,W0ZUFF,Y,07086L000100,,Sep 24 2086,Jul 21 2003,,7
0C222,CO,RIFLE CO INF BN,A,129,129,0,RIFLE CO INF BN  LIGHT,1,U,A,W0ZUFF,,07017L000100,,Dec 26 2085,Jul 21 2003,,7
0CA77,CO,***CANCELLED***,A,87,83,0,ANTIARMOR COMPANY,,U,C,W0ZUFF,,,,Feb 05 2098,Aug 30 2000,,7
0CCBB,BDE,SEPARATE INFANT,A,3937,3937,0,SEPARATE INFANTRY BRIGADE,1,U,A,W0ZUFF,,07400L400100,,Feb 23 2099,Jul 21 2003,,7
0CELL,NSL,INF CELL,A,0,0,0,CELLULAR TOE UNIT INFANTRY,9,U,A,W0ZUFF,,ARMY TDA,,Jun 22 2071,Jun 22 2071,,7
0CJJJ,BN,LOSAT BATTALION,A,327,327,0,LOSAT BATTALION (ABN),1,U,A,W0ZUFF,,07065A100100,,Jul 21 2003,Jul 21 2003,,7
0CTTT,HHC,HHC INF BN  MEC,A,313,313,0,HHC INF BN  MECH,1,U,A,W0ZUFF,,07246L000100,,Mar 18 2086,Nov 10 2099,,7
0CU77,HHC,***CANCELLED***,A,0,99080,0,HHC AIR ASSAULT BRIGADE,,U,C,W0ZUFF,,,,Feb 22 2095,Aug 04 2099,,7
0CVNN,CO,RIFLE CO. (RANG,A,151,151,0,RIFLE CO   RANGER,1,U,A,W0ZUFF,,07087L000100,,Sep 24 2086,Jul 21 2003,,7
0DCBB,BDE,6TH SEP INF BDE,A,3687,3687,0,6TH SEP INF BDE (LT),1,U,A,W0ZUFF,,07400L500100,,Feb 23 2099,Jul 21 2003,,7
0DHEE,BDE,SEPARATE INFANT,A,3927,3072,0,SEPARATE INFANTRY BRIGADE,,U,C,W0ZUFF,,07400L100100,,Jun 15 2087,Jul 21 2003,,7
0DRRR,DIV,AIRBORNE DIVISI,A,13431,13431,0,AIRBORNE DIVISION,1,U,A,W0ZUFF,,57000A000100,,Feb 05 2098,Jul 21 2003,,7
0E222,BN,INF BN  AASLT,A,665,665,0,INF BN  AASLT,1,U,A,W0ZUFF,,07055L000100,,Dec 26 2085,Nov 10 2099,,7
0ECBB,BDE,SEPARATE INFANT,A,3861,3861,0,SEPARATE INFANTRY BDE,1,U,A,W0ZUFF,,07400L600100,,Feb 23 2099,Jul 21 2003,,7
0ERRR,HHC,HHC AIRBORNE DI,A,231,231,0,HHC AIRBORNE DIVISION,1,U,A,W0ZUFF,,57004A000100,,Feb 05 2098,Jul 21 2003,,7
0ETTT,HHC,HHC INF BN (BFV,A,313,313,0,HHC INF BN (MECH),1,U,A,W0ZUFF,,07246L200100,,Mar 18 2086,Jul 21 2003,,7
0F222,HHC,HHC INF BN  AAS,A,185,185,0,HHC INF BN  AASLT,1,U,A,W0ZUFF,,07056L000100,,Dec 26 2085,Nov 10 2099,,7
0F666,CO,***CANCELLED***,A,0,99080,0,ANTIARMOR CO INF BN M  IT,,U,C,W0ZUFF,,,,Sep 30 2084,Aug 04 2099,,7
0F733,BN,INFANTRY BATTAL,A,775,775,0,INFANTRY BATTALION  MTN,1,U,A,W0ZUFF,,07315L000100,,Dec 04 2086,Jul 21 2003,,7
0FBAK,CO,***CANCELLED***,A,0,99080,0,"RIFLE CO, INF BN  AMBL    R",,U,C,W0Z2AA,,,,Nov 14 2073,Aug 04 2099,,7
0FRAG,NSL,INF FRAG,A,0,0,0,INFANTRY FRAGMENT,9,U,A,W0ZUFF,,ARMY FRAG UNIT,,Oct 14 2071,Jan 22 2002,,7
0FTTT,CO,RIFLE CO INF BN,A,111,111,0,RIFLE CO INF BN  MECH,1,U,A,W0ZUFF,,07247L000100,,Mar 18 2086,Nov 10 2099,,7
0FVNN,CO,***CANCELLED***,A,0,99080,0,LRS COMPANY MI BN MTZ DIV,,U,C,W0ZUFF,,,,Sep 24 2086,Aug 04 2099,,7
0G222,CO,RIFLE CO  AASLT,A,131,131,0,RIFLE CO  AASLT,1,U,A,W0ZUFF,,07057L000100,,Dec 26 2085,Nov 10 2099,,7
0G733,CO,RIFLE CO. INF B,A,160,160,0,RIFLE CO  INF BN  MTN,1,U,A,W0ZUFF,,07317L000100,,Dec 04 2086,Jul 21 2003,,7
0GBAA,DIV,MARINE DIVISION,M,373,0,0,MARINE DIVISION,1,U,A,M54000,V, NOT APPLICABLE,,Apr 18 2096,,,7
0GKHH,DIV,"HVY DIV, ME (3",A,16555,16555,0,"HVY DIV, ME (3 CO/BN)",1,U,A,W0ZUFF,,87000A600100,,Aug 30 2000,Jul 21 2003,,7
0GP66,DIV,AIR ASSAULT DIV,A,16729,16729,0,AIR ASSAULT DIVISION,1,U,A,W0ZUFF,X,67000A000100,,Jul 28 2095,Jul 21 2003,,7
0GQGB,RGT,INFANTRY REGIME,M,1,0,0,INFANTRY REGIMENT,1,U,A,M54000,V, NOT APPLICABLE,,Apr 18 2096,,,7
0GRRR,HHC,HHC AIR ASSAULT,A,87,87,0,HHC AIR ASSAULT BRIGADE,1,U,A,W0ZUFF,,67042L100100,,Feb 05 2098,Jul 21 2003,,7
0GTAA,BN,INFANTRY BN,M,1,0,0,INFANTRY BN,1,U,A,M54000,V, NOT APPLICABLE,,Apr 18 2096,,,7
0GVAA,CO,"RIFLE CO, INF B",M,182,0,0,"RIFLE CO, INF BN, FMF",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0GVAC,EQP,"RIFLE CO, INF B",M,1,0,0,"RIFLE CO, INF BN/MPS PREPO",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0GVAP,PER,"RIFLE CO, INF B",M,182,0,0,"RIFLE CO, INF BN/MPS FIE",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0GVGA,CO,"WPNS CO, INF BN",M,154,0,0,"WPNS CO, INF BN, FMF",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0GVGB,EQP,"WPNS CO, INF BN",M,1,0,0,"WPNS CO, INF BN/MPS PREPO",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0GVGP,PER,"WPNS CO, INF BN",M,154,0,0,"WPNS CO, INF BN/MPS FIE",1,U,A,M54000,, NOT APPLICABLE,,Apr 18 2096,Feb 14 2098,,7
0H222,CO,ANTIARMOR COMPA,A,87,87,0,ANTIARMOR COMPANY,1,U,A,W0ZUFF,,07058L000100,,Dec 26 2085,Nov 10 2099,,7
0H322,CO,***CANCELLED***,A,0,99080,0,LRS COMPANY  CORPS,,U,C,W0ZUFF,,,,Dec 26 2085,Aug 04 2099,,7
0HJZZ,TM,INF DET  ARCTIC,A,231,231,0,INF DET  ARCTIC SPT,1,U,A,W0ZUFF,,77500LA00100,,Jun 27 2088,Nov 10 2099,,7
0HP66,HHC,***CANCELLED***,A,0,99080,0,HHC AIR ASSAULT DIVISION,,U,C,W0ZUFF,,,,Jul 28 2095,Aug 04 2099,,7
0HZZZ,BN,INF BN (ABN) SE,A,784,784,0,INF BN (ABN) SETAF,1,U,A,W0ZUFF,,07035E000100,,Aug 25 2099,Jul 21 2003,,7
0J222,HHC,HHC INF BDE (BC,A,3472,3072,0,HHC INF BDE (BCT),,U,C,W0ZUFF,,47100F300100,,Apr 02 2002,Jul 21 2003,,7
0J322,DET,LRS DET MI BN (,A,56,56,0,LRS DET MI BN  HVY,4,U,A,W0ZUFF,,07209L000100,,Dec 26 2085,Jul 21 2003,,7
0J666,HHC,***CANCELLED***,A,0,1050,0,HHC INF BN MECH M113,,U,C,W0ZUFF,,,,Sep 30 2084,May 02 2001,,7
0J777,CO,***CANCELLED***,A,0,1050,0,RIFLE CO  INF BN  AASLT,,U,C,W0ZUFF,,,,Mar 31 2081,May 02 2001,,7
0JFEE,HHC,***CANCELLED***,A,0,99080,0,HHC  ENGR BN  INF DIV,,U,C,W0ZUFF,,,,Jun 15 2087,Aug 04 2099,,7
0JMHH,DIV,"MX DIV, 4-M1, 5",A,17684,17684,0,"MX DIV, 4-M1, 5-BFVS,2-AHB",1,U,A,W0ZUFF,,87000A200100,,Aug 30 2000,Jul 21 2003,,7
0JP66,DIV,LID (DOCTRINAL),A,11594,11594,0,LIGHT INFANTRY DIVISION,1,U,A,W0ZUFF,,77000A000100,,Jul 28 2095,Jul 19 2002,,7
0JTTT,CO,ANTIARMOR CO IN,A,64,64,0,ANTIARMOR CO INF BN  MECH,1,U,A,W0ZUFF,,07248L000100,,Mar 18 2086,Jul 21 2003,,7
0JWVV,HHC,"HHC, INF BN (MO",A,295,295,0,HHC  INF BN  MOUNTAIN,1,U,A,W0ZUFF,,07316L000100,,Mar 02 2087,Jul 21 2003,,7
0JZZZ,BN,INF BN (ABN) OP,A,443,443,0,INF BN (ABN) OPFOR,1,U,A,W0ZUFF,,07035L200100,,Aug 25 2099,Jul 21 2003,,7
0K777,HHC,***CANCELLED***,A,0,99080,0,HHC  INF BN  AASLT,,U,C,W0ZUFF,,,,Mar 31 2081,Aug 04 2099,,7
0K877,CO,RIFLE CO INF BN,A,111,111,0,RIFLE CO INF BN (BFV),1,U,A,W0ZUFF,,07247L400100,,Aug 25 2099,Jul 21 2003,,7
0KG77,BN,INF BN (BFV/MG/,A,838,838,0,INF BN (MECH),1,U,A,W0ZUFF,,07245L100100,,Mar 06 2091,Jan 22 2002,,7
0KMHH,DIV,"MX DIV,4-M1,5-B",A,17627,17627,0,"MX DIV,4-M1,5-BFVS,2-AHB",1,U,A,W0ZUFF,,87000A400100,,Aug 30 2000,Jul 21 2003,,7
0KP66,HHC,HHC LIGHT INFAN,A,244,244,0,HHC LIGHT INFANTRY DIV,1,U,A,W0ZUFF,,77004A000100,,Jul 28 2095,Jul 21 2003,,7
0KTTT,HHC,***CANCELLED***,A,305,99082,0,HHC  INF DIV  MECH,,U,C,W0ZUFF,,,,Mar 18 2086,Aug 25 2099,,7
0KZZZ,HHC,HHC INF BN (ABN,A,213,213,0,HHC INF BN (ABN) SETAF,1,U,A,W0ZUFF,,07036E000100,,Aug 04 2099,Jul 21 2003,,7
0L766,HHC,***CANCELLED***,A,0,99080,0,HHC INFANTRY DIVISION MEC,,U,C,W0ZUFF,,,,Sep 30 2084,Aug 04 2099,,7
0LG77,BN,INF BN (BFV),A,768,768,0,INF BN (MECH),1,U,A,W0ZUFF,,07245L200100,,Mar 06 2091,Jul 21 2003,,7
0LMHH,DIV,DIV XXI HVY DIV,A,15694,3072,0,DIV XXI HVY DIV (MECH),,U,C,W0ZUFF,,87000F200100,,Aug 30 2000,Jul 21 2003,,7
0LTTT,HHC,HHC INF DIV (ME,A,93,80,0,HHC INF DIV  MECH  BDE,1,U,A,W0ZUFF,,87042L200100,,Mar 18 2086,Jan 22 2002,,7
0LZZZ,CO,RIFLE CO (ABN),A,131,131,0,RIFLE CO (ABN) SETAF,1,U,A,W0ZUFF,,07037E000100,,Aug 04 2099,Jul 21 2003,,7
0MBNN,HHC,HHC AIRBORNE DI,A,261,2012,0,HHC AIRBORNE DIVISION,,U,C,W0ZUFF,,57004L000100,,Sep 24 2086,Jan 22 2002,,7
0MG77,BN,***CANCELLED***,A,811,99022,0,INF BN  MECH,,U,C,W0ZUFF,,,,Mar 06 2091,Feb 23 2099,,7
0MMHH,DIV,"MX DIV,4-M60,5-",A,17550,3072,0,"MX DIV,4-M60,5-M113,2-AHB",,U,C,W0ZUFF,,87000L200100,,Aug 30 2000,Jul 21 2003,,7
0MZZZ,CO,ANTIARMOR CO (A,A,87,87,0,ANTIARMOR CO (ABN) SETAF,1,U,A,W0ZUFF,,07038E000100,,Aug 04 2099,Jul 21 2003,,7
0NG77,BN,INFANTRY BN (ME,A,601,601,0,INF BN  MECH,1,U,A,W0ZUFF,,07245L400100,,Mar 06 2091,Jul 21 2003,,7
0NGGG,GRP,SCOUT GROUP,A,1181,1181,0,SCOUT GROUP,1,U,A,W0ZUFF,,07900L000100,,Feb 05 2098,Jul 21 2003,,7
0NMHH,DIV,"MX DIV, 4-M1, 5",A,17391,3072,0,"MX DIV, 4-M1, 5-BFVS,2-AHB",,U,C,W0ZUFF,,87000L400100,,Aug 30 2000,Jul 21 2003,,7
0NZZZ,CO,CBT SPT CO (ABN,A,91,91,0,CBT SPT CO (ABN) SETAF,1,U,A,W0ZUFF,,07039E000100,,Aug 04 2099,Jul 21 2003,,7
0PG77,HHC,HHC INF BN (BFV,A,329,329,0,HHC INF BN (MECH),1,U,A,W0ZUFF,,07246L100100,,Mar 06 2091,Jan 22 2002,,7
0PGGG,HHC,HHC SCOUT GP,A,236,236,0,HHC SCOUT GP,1,U,A,W0ZUFF,,07902L000100,,Feb 05 2098,Jul 21 2003,,7
0PKKK,CO,RIFLE CO (AASLT,A,131,131,0,RIFLE CO (AASLT),1,U,A,W0ZUFF,,07057L100100,,Feb 05 2098,Jul 21 2003,,7
0PMHH,DIV,"MX DIV,4-M60,5-",A,17791,3072,0,"MX DIV,4-M60,5-M113,1-AHB",,U,C,W0ZUFF,,87000L600100,,Aug 30 2000,Jul 21 2003,,7
0PMMM,BN,INF BN (BCT),A,670,670,0,INF BN (BCT),1,U,A,W0ZUFF,,07095F300100,,Oct 19 2000,Jul 21 2003,,7
0PVNN,CO,ANTIARMOR COMPA,A,87,87,0,ANTIARMOR COMPANY,1,U,A,W0ZUFF,,07038L000100,,Sep 24 2086,Jul 21 2003,,7
0PZZZ,BN,INFANTRY BN (OL,A,1100,1100,0,INFANTRY BN (OLD GUARD),1,U,A,W0ZUFF,,07705E000100,,Aug 04 2099,Jul 21 2003,,7
0QGGG,BN,SCOUT BATTALION,A,315,315,0,SCOUT BATTALION,1,U,A,W0ZUFF,,07905L000100,,Feb 05 2098,Jul 21 2003,,7
0QMHH,DIV,"MX DIV,4-M1,5-B",A,17336,3072,0,"MX DIV,4-M1,5-BFVS,1-AHB",,U,C,W0ZUFF,,87000L800100,,Aug 30 2000,Jul 21 2003,,7
0QMMM,HHC,"HHC, INF BN (MO",A,153,153,0,"HHC, INF BN (MOUNTAIN)",1,U,A,W0ZUFF,,07096F300100,,Oct 19 2000,Jul 21 2003,,7
0QZZZ,HHC,HHC INF BN (TOG,A,224,224,0,HHC INF BN (TOG),1,U,A,W0ZUFF,,07706E000100,,Aug 04 2099,Jul 21 2003,,7
0R322,HHC,HHC RANGER REGI,A,136,126,0,HHC INFANTRY (RANGER) REGT,1,U,A,W0ZUFF,,07302L000100,,Dec 26 2085,Jul 21 2003,,7
0REBB,HHC,"HHC, INF DIV (M",A,424,0,0,"HHC, INF DIV (MECH)",1,U,A,W0ZUFF,,87004F200100,,Feb 23 2099,Jan 22 2002,,7
0RG77,HHC,HHC INF BN (MEC,A,268,268,0,HHC INF BN  MECH,1,U,A,W0ZUFF,,07246L400100,,Mar 06 2091,Jul 21 2003,,7
0RGGG,HHC,HHC SCOUT BN,A,84,84,0,HHC SCOUT BN,1,U,A,W0ZUFF,,07906L000100,,Feb 05 2098,Jul 21 2003,,7
0RMHH,DIV,2ID(4-M1/3-BFV/,A,18935,3072,0,2ID(4-M1/3-BFV/2-ASLT/2AHB,,U,C,W0ZUFF,,87000L900100,,Aug 30 2000,Jul 21 2003,,7
0RMMM,CO,INF CO,A,171,171,0,INF CO,1,U,A,W0ZUFF,,07097F300100,,Oct 19 2000,Jul 21 2003,,7
0RRRR,CO,RIFLE CO INF BN,A,111,111,0,RIFLE CO INF BN (MECH),1,U,A,W0ZUFF,,07247L100100,,Feb 05 2098,Jan 22 2002,,7
0RZZZ,CO,INF CO (CINC GU,A,147,147,0,INF CO (CINC GUARD),1,U,A,W0ZUFF,,07707E000100,,Aug 04 2099,Jul 21 2003,,7
0S4ZZ,HHC,"HHC, INF DIV (M",A,268,266,0,"HHC, INF DIV (MECH)",1,U,A,W0ZUFF,,87004A200100,,Aug 25 2099,Jul 21 2003,,7
0SEBB,BDE,***CANCELLED***,A,0,99082,0,INF BRIGADE (MECH),,U,C,W0ZUFF,,,,Feb 23 2099,Aug 25 2099,,7
0SEDD,CO,***CANCELLED***,A,0,99080,0,ANTIARMOR COMPANY,,U,C,W0ZUFF,,,,Feb 04 2085,Aug 04 2099,,7
0SGGG,CO,SCOUT CO. SCOUT,A,77,77,0,SCOUT CO. SCOUT BN,1,U,A,W0ZUFF,,07907L000100,,Feb 05 2098,Jul 21 2003,,7
